id_pais,id_municipio,id_municipio_parcial,id_provincia,id_ccaa,nombre,provincia_nombre,ccaa_nombre,id_isla,isla,gid_municipio,gid_provincia,gid_ccaa
ES,08020432,020432,02,08,Lezuza,albacete,Castilla - La Mancha,,,ES-08020432,ES-02,ES-08
ES,08020447,020447,02,08,Liétor,albacete,Castilla - La Mancha,,,ES-08020447,ES-02,ES-08
ES,08020450,020450,02,08,Madrigueras,albacete,Castilla - La Mancha,,,ES-08020450,ES-02,ES-08
ES,08020463,020463,02,08,Mahora,albacete,Castilla - La Mancha,,,ES-08020463,ES-02,ES-08
ES,08020479,020479,02,08,Masegoso,albacete,Castilla - La Mancha,,,ES-08020479,ES-02,ES-08
ES,08020485,020485,02,08,Minaya,albacete,Castilla - La Mancha,,,ES-08020485,ES-02,ES-08
ES,08020498,020498,02,08,Molinicos,albacete,Castilla - La Mancha,,,ES-08020498,ES-02,ES-08
ES,08020501,020501,02,08,Montalvos,albacete,Castilla - La Mancha,,,ES-08020501,ES-02,ES-08
ES,08020518,020518,02,08,Montealegre del Castillo,albacete,Castilla - La Mancha,,,ES-08020518,ES-02,ES-08
ES,08020523,020523,02,08,Motilleja,albacete,Castilla - La Mancha,,,ES-08020523,ES-02,ES-08
ES,08020539,020539,02,08,Munera,albacete,Castilla - La Mancha,,,ES-08020539,ES-02,ES-08
ES,08020544,020544,02,08,Navas de Jorquera,albacete,Castilla - La Mancha,,,ES-08020544,ES-02,ES-08
ES,08020557,020557,02,08,Nerpio,albacete,Castilla - La Mancha,,,ES-08020557,ES-02,ES-08
ES,08020560,020560,02,08,Ontur,albacete,Castilla - La Mancha,,,ES-08020560,ES-02,ES-08
ES,08020576,020576,02,08,Ossa de Montiel,albacete,Castilla - La Mancha,,,ES-08020576,ES-02,ES-08
ES,08020582,020582,02,08,Paterna del Madera,albacete,Castilla - La Mancha,,,ES-08020582,ES-02,ES-08
ES,08020609,020609,02,08,Peñas de San Pedro,albacete,Castilla - La Mancha,,,ES-08020609,ES-02,ES-08
ES,08020595,020595,02,08,Peñascosa,albacete,Castilla - La Mancha,,,ES-08020595,ES-02,ES-08
ES,08020616,020616,02,08,Pétrola,albacete,Castilla - La Mancha,,,ES-08020616,ES-02,ES-08
ES,08020621,020621,02,08,Povedilla,albacete,Castilla - La Mancha,,,ES-08020621,ES-02,ES-08
ES,08029010,029010,02,08,Pozo Cañada,albacete,Castilla - La Mancha,,,ES-08029010,ES-02,ES-08
ES,08020637,020637,02,08,Pozohondo,albacete,Castilla - La Mancha,,,ES-08020637,ES-02,ES-08
ES,08020642,020642,02,08,Pozo-Lorente,albacete,Castilla - La Mancha,,,ES-08020642,ES-02,ES-08
ES,08020655,020655,02,08,Pozuelo,albacete,Castilla - La Mancha,,,ES-08020655,ES-02,ES-08
ES,08020668,020668,02,08,"Recueja, La",albacete,Castilla - La Mancha,,,ES-08020668,ES-02,ES-08
ES,08020674,020674,02,08,Riópar,albacete,Castilla - La Mancha,,,ES-08020674,ES-02,ES-08
ES,08020680,020680,02,08,Robledo,albacete,Castilla - La Mancha,,,ES-08020680,ES-02,ES-08
ES,08020693,020693,02,08,"Roda, La",albacete,Castilla - La Mancha,,,ES-08020693,ES-02,ES-08
ES,08020707,020707,02,08,Salobre,albacete,Castilla - La Mancha,,,ES-08020707,ES-02,ES-08
ES,08020714,020714,02,08,San Pedro,albacete,Castilla - La Mancha,,,ES-08020714,ES-02,ES-08
ES,08020729,020729,02,08,Socovos,albacete,Castilla - La Mancha,,,ES-08020729,ES-02,ES-08
ES,08020735,020735,02,08,Tarazona de la Mancha,albacete,Castilla - La Mancha,,,ES-08020735,ES-02,ES-08
ES,08020740,020740,02,08,Tobarra,albacete,Castilla - La Mancha,,,ES-08020740,ES-02,ES-08
ES,08020753,020753,02,08,Valdeganga,albacete,Castilla - La Mancha,,,ES-08020753,ES-02,ES-08
ES,08020766,020766,02,08,Vianos,albacete,Castilla - La Mancha,,,ES-08020766,ES-02,ES-08
ES,08020772,020772,02,08,Villa de Ves,albacete,Castilla - La Mancha,,,ES-08020772,ES-02,ES-08
ES,08020788,020788,02,08,Villalgordo del Júcar,albacete,Castilla - La Mancha,,,ES-08020788,ES-02,ES-08
ES,08020791,020791,02,08,Villamalea,albacete,Castilla - La Mancha,,,ES-08020791,ES-02,ES-08
ES,08020805,020805,02,08,Villapalacios,albacete,Castilla - La Mancha,,,ES-08020805,ES-02,ES-08
ES,08020812,020812,02,08,Villarrobledo,albacete,Castilla - La Mancha,,,ES-08020812,ES-02,ES-08
ES,08020827,020827,02,08,Villatoya,albacete,Castilla - La Mancha,,,ES-08020827,ES-02,ES-08
ES,08020833,020833,02,08,Villavaliente,albacete,Castilla - La Mancha,,,ES-08020833,ES-02,ES-08
ES,08020848,020848,02,08,Villaverde de Guadalimar,albacete,Castilla - La Mancha,,,ES-08020848,ES-02,ES-08
ES,08020851,020851,02,08,Viveros,albacete,Castilla - La Mancha,,,ES-08020851,ES-02,ES-08
ES,08020864,020864,02,08,Yeste,albacete,Castilla - La Mancha,,,ES-08020864,ES-02,ES-08
ES,10030020,030020,03,10,Agost,alicante/alacant,Comunitat Valenciana,,,ES-10030020,ES-03,ES-10
ES,10030036,030036,03,10,Agres,alicante/alacant,Comunitat Valenciana,,,ES-10030036,ES-03,ES-10
ES,10030041,030041,03,10,Aigües,alicante/alacant,Comunitat Valenciana,,,ES-10030041,ES-03,ES-10
ES,10030149,030149,03,10,Alacant/Alicante,alicante/alacant,Comunitat Valenciana,,,ES-10030149,ES-03,ES-10
ES,10030054,030054,03,10,Albatera,alicante/alacant,Comunitat Valenciana,,,ES-10030054,ES-03,ES-10
ES,10030067,030067,03,10,Alcalalí,alicante/alacant,Comunitat Valenciana,,,ES-10030067,ES-03,ES-10
ES,10030092,030092,03,10,Alcoi/Alcoy,alicante/alacant,Comunitat Valenciana,,,ES-10030092,ES-03,ES-10
ES,10030089,030089,03,10,Alcoleja,alicante/alacant,Comunitat Valenciana,,,ES-10030089,ES-03,ES-10
ES,10030073,030073,03,10,Alcosser,alicante/alacant,Comunitat Valenciana,,,ES-10030073,ES-03,ES-10
ES,10030106,030106,03,10,Alfafara,alicante/alacant,Comunitat Valenciana,,,ES-10030106,ES-03,ES-10
ES,10030113,030113,03,10,"Alfàs del Pi, l'",alicante/alacant,Comunitat Valenciana,,,ES-10030113,ES-03,ES-10
ES,10030128,030128,03,10,Algorfa,alicante/alacant,Comunitat Valenciana,,,ES-10030128,ES-03,ES-10
ES,10030134,030134,03,10,Algueña,alicante/alacant,Comunitat Valenciana,,,ES-10030134,ES-03,ES-10
ES,10030152,030152,03,10,Almoradí,alicante/alacant,Comunitat Valenciana,,,ES-10030152,ES-03,ES-10
ES,10030165,030165,03,10,Almudaina,alicante/alacant,Comunitat Valenciana,,,ES-10030165,ES-03,ES-10
ES,10030171,030171,03,10,"Alqueria d'Asnar, l'",alicante/alacant,Comunitat Valenciana,,,ES-10030171,ES-03,ES-10
ES,10030187,030187,03,10,Altea,alicante/alacant,Comunitat Valenciana,,,ES-10030187,ES-03,ES-10
ES,10030190,030190,03,10,Aspe,alicante/alacant,Comunitat Valenciana,,,ES-10030190,ES-03,ES-10
ES,10030015,030015,03,10,"Atzúbia, l'",alicante/alacant,Comunitat Valenciana,,,ES-10030015,ES-03,ES-10
ES,10030204,030204,03,10,Balones,alicante/alacant,Comunitat Valenciana,,,ES-10030204,ES-03,ES-10
ES,10030211,030211,03,10,Banyeres de Mariola,alicante/alacant,Comunitat Valenciana,,,ES-10030211,ES-03,ES-10
ES,10030226,030226,03,10,Benasau,alicante/alacant,Comunitat Valenciana,,,ES-10030226,ES-03,ES-10
ES,10030232,030232,03,10,Beneixama,alicante/alacant,Comunitat Valenciana,,,ES-10030232,ES-03,ES-10
ES,10030247,030247,03,10,Benejúzar,alicante/alacant,Comunitat Valenciana,,,ES-10030247,ES-03,ES-10
ES,10030250,030250,03,10,Benferri,alicante/alacant,Comunitat Valenciana,,,ES-10030250,ES-03,ES-10
ES,10030263,030263,03,10,Beniarbeig,alicante/alacant,Comunitat Valenciana,,,ES-10030263,ES-03,ES-10
