id_municipio,lat,lon,osm_id,osm_type,osm_query_usada,osm_pass
01230948,38.2107652,-3.5130577,347993,relation,"Vilches, jaén, Andalucía, España",pass_1
01230951,38.1160200,-3.0839220,347992,relation,"Villacarrillo, jaén, Andalucía, España",pass_1
01230964,38.0051678,-3.9146981,347995,relation,"Villanueva de la Reina, jaén, Andalucía, España",pass_1
01230970,38.1685887,-3.0078293,347994,relation,"Villanueva del Arzobispo, jaén, Andalucía, España",pass_1
01230986,37.8381084,-4.0017495,347987,relation,"Villardompardo, jaén, Andalucía, España",pass_1
01230999,37.6518623,-3.8622656,1243129179,node,"Villares, Los, jaén, Andalucía, España",pass_1
01231010,38.4872582,-2.6363672,342938,relation,"Villarrodrigo, jaén, Andalucía, España",pass_1
01239033,37.9331302,-3.7041238,340321,relation,"Villatorres, jaén, Andalucía, España",pass_1
07240016,43.0391854,-5.1159697,347404,relation,"Acebedo, león, Castilla y León, España",pass_1
07240021,42.2196382,-5.5851273,347403,relation,"Algadefe, león, Castilla y León, España",pass_1
07240037,42.1417568,-5.8367367,341421,relation,"Alija del Infantado, león, Castilla y León, España",pass_1
07240042,42.6581453,-5.0361457,347409,relation,"Almanza, león, Castilla y León, España",pass_1
07240055,42.7911523,-5.6353937,189577212,way,"Antigua, La, león, Castilla y León, España",pass_1
07240068,42.4364485,-5.5605337,347407,relation,"Ardón, león, Castilla y León, España",pass_1
07240074,42.6411087,-6.6854111,347406,relation,"Arganza, león, Castilla y León, España",pass_1
07240080,42.4554010,-6.0529240,347413,relation,"Astorga, león, Castilla y León, España",pass_1
07240093,42.7062532,-6.9228651,347412,relation,"Balboa, león, Castilla y León, España",pass_1
07240107,42.2980495,-5.9049424,202315596,node,"Bañeza, La, león, Castilla y León, España",pass_1
07240114,42.6112016,-6.9792579,343107,relation,"Barjas, león, Castilla y León, España",pass_1
07240129,42.8836096,-5.8783676,2588413,relation,"Barrios de Luna, Los, león, Castilla y León, España",pass_1
07240140,42.6153980,-6.4169710,343102,relation,"Bembibre, león, Castilla y León, España",pass_1
07240153,42.5030114,-5.8966106,343103,relation,"Benavides, león, Castilla y León, España",pass_1
07240166,42.4005361,-6.7086507,343104,relation,"Benuza, león, Castilla y León, España",pass_1
07240172,42.3809862,-5.7038921,343105,relation,"Bercianos del Páramo, león, Castilla y León, España",pass_1
07240188,42.3876814,-5.1451977,342394,relation,"Bercianos del Real Camino, león, Castilla y León, España",pass_1
07240191,42.7307946,-6.6030486,342396,relation,"Berlanga del Bierzo, león, Castilla y León, España",pass_1
07240205,42.9730324,-4.9253901,346907,relation,"Boca de Huérgano, león, Castilla y León, España",pass_1
07240212,42.8667670,-5.3233221,346906,relation,"Boñar, león, Castilla y León, España",pass_1
07240227,42.4918575,-6.7266298,346909,relation,"Borrenes, león, Castilla y León, España",pass_1
07240233,42.4972719,-6.1572036,346908,relation,"Brazuelo, león, Castilla y León, España",pass_1
07240248,42.4015006,-5.1757403,158193974,way,"Burgo Ranero, El, león, Castilla y León, España",pass_1
07240251,43.0244821,-5.0514632,346902,relation,"Burón, león, Castilla y León, España",pass_1
07240264,42.4413416,-5.7915737,346905,relation,"Bustillo del Páramo, león, Castilla y León, España",pass_1
07240270,42.6201168,-6.6364730,346904,relation,"Cabañas Raras, león, Castilla y León, España",pass_1
07240286,42.4020776,-5.5420111,346912,relation,"Cabreros del Río, león, Castilla y León, España",pass_1
