id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
63,ES,05,35,2023,7,comida y bebida,actividades,gastronomia,canarias,las palmas,37802.0,922.0,3.71,4.28,443,True
64,ES,05,38,2023,7,comida y bebida,actividades,gastronomia,canarias,santa cruz de tenerife,63626.0,2194.0,4.31,4.26,72,True
65,ES,08,16,2023,7,comida y bebida,actividades,gastronomia,castilla - la mancha,cuenca,1020.0,1020.0,4.68,4.19,102,True
66,ES,09,08,2023,7,comida y bebida,actividades,gastronomia,cataluna,barcelona,74754.0,687.5,4.67,4.05,3911,True
67,ES,09,17,2023,7,comida y bebida,actividades,gastronomia,cataluna,girona,65650.0,1357.5,4.57,4.24,183,True
68,ES,09,43,2023,7,comida y bebida,actividades,gastronomia,cataluna,tarragona,19992.0,1030.33,4.67,4.2,481,True
69,ES,13,28,2023,7,comida y bebida,actividades,gastronomia,comunidad de madrid,madrid,354432.0,2496.0,4.71,4.1,5856,True
70,ES,15,31,2023,7,comida y bebida,actividades,gastronomia,comunidad foral de navarra,navarra,2572.0,1025.5,4.63,4.23,135,True
71,ES,10,03,2023,7,comida y bebida,actividades,gastronomia,comunitat valenciana,alicante/alacant,17062.0,857.0,4.52,4.28,760,True
72,ES,04,07,2023,7,comida y bebida,actividades,gastronomia,illes balears,illes balears,42889.4,2730.2,4.86,4.33,2196,True
73,ES,01,41,2023,7,vida nocturna,espectaculos,cine,andalucia,sevilla,174264.0,548.0,4.05,4.34,39053,True
74,ES,02,22,2023,7,vida nocturna,espectaculos,cine,aragon,huesca,2560.0,80.0,3.85,4.25,1293,True
75,ES,05,35,2023,7,vida nocturna,espectaculos,cine,canarias,las palmas,120.0,60.0,4.24,4.28,129544,True
76,ES,09,08,2023,7,vida nocturna,espectaculos,cine,cataluna,barcelona,277544.0,1152.0,3.95,4.05,119743,True
77,ES,09,17,2023,7,vida nocturna,espectaculos,cine,cataluna,girona,100.0,50.0,3.8,4.24,12856,True
78,ES,04,07,2023,7,vida nocturna,espectaculos,cine,illes balears,illes balears,120.0,30.0,4.12,4.33,122452,True
79,ES,05,35,2023,7,otros,espectaculos,conferencias,canarias,las palmas,39928.5,930.5,4.32,4.28,176,True
80,ES,08,16,2023,7,otros,espectaculos,conferencias,castilla - la mancha,cuenca,61457.0,1661.0,4.51,4.19,3406,True
81,ES,09,08,2023,7,otros,espectaculos,conferencias,cataluna,barcelona,471932.0,929.0,3.9,4.05,2019,True
82,ES,09,43,2023,7,otros,espectaculos,conferencias,cataluna,tarragona,2850.0,475.0,4.01,4.2,1769,True
83,ES,13,28,2023,7,otros,espectaculos,conferencias,comunidad de madrid,madrid,14301.0,1358.0,3.97,4.1,1624,True
84,ES,01,04,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,almeria,855767.5,1201.25,4.25,4.19,14318,True
