id_pais,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio
ES,19,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,guadalajara,87240.0,30.0
ES,05,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,avila,57015.0,1267.0
ES,09,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,burgos,6201.0,2067.0
ES,37,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,salamanca,72840.33,203.67
ES,47,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,valladolid,202600.5,1205.5
ES,08,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,barcelona,546691.7,767.4
ES,17,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,girona,52194.67,743.33
ES,25,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,lleida,59297.0,1379.0
ES,43,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,tarragona,113763.0,2145.75
ES,28,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunidad de madrid,madrid,400106.83,1020.33
ES,31,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunidad foral de navarra,navarra,57630.33,7200.33
ES,03,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunitat valenciana,alicante/alacant,29744.67,321.0
ES,46,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunitat valenciana,valencia/valencia,383055.0,1255.67
ES,06,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",extremadura,badajoz,19880.0,1297.5
ES,10,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",extremadura,caceres,4500.0,100.0
ES,15,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",galicia,a coruna,13688.5,3580.5
ES,27,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",galicia,lugo,160.0,40.0
ES,36,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",galicia,pontevedra,751054.5,897.5
ES,07,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",illes balears,illes balears,136190.12,1227.12
ES,26,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",la rioja,la rioja,211831.5,1765.5
ES,01,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",pais vasco,araba/alava,10702.0,179.0
ES,48,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",pais vasco,bizkaia,356774.0,776.5
ES,20,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",pais vasco,gipuzkoa,86088.0,776.0
ES,33,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",principado de asturias,asturias,2376.0,198.0
ES,30,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",region de murcia,murcia,935556.0,1471.0
ES,28,2023,7,compras,espectaculos,ferias,comunidad de madrid,madrid,17800.0,2225.0
ES,37,2023,7,paisaje urbano,espectaculos,museo y exposiciones,castilla y leon,salamanca,136041.0,331.0
