id_pais,id_provincia,gid_provincia,categoria,comunidad_autonoma,provincia,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,provincia_nombre
ES,14,ES-14,paisaje naturaleza,andalucia,cordoba,4.32,4.29,3767.0,córdoba
ES,18,ES-18,paisaje naturaleza,andalucia,granada,4.52,4.37,18491.5,granada
ES,21,ES-21,paisaje naturaleza,andalucia,huelva,4.12,4.11,8395.5,huelva
ES,23,ES-23,paisaje naturaleza,andalucia,jaen,4.44,4.33,4366.0,jaén
ES,29,ES-29,paisaje naturaleza,andalucia,malaga,4.44,4.43,109647.5,málaga
ES,41,ES-41,paisaje naturaleza,andalucia,sevilla,4.47,4.34,21476.5,sevilla
ES,22,ES-22,paisaje naturaleza,aragon,huesca,4.56,4.25,17445.0,huesca
ES,44,ES-44,paisaje naturaleza,aragon,teruel,4.32,4.28,3578.5,teruel
ES,50,ES-50,paisaje naturaleza,aragon,zaragoza,4.36,4.21,5887.5,zaragoza
ES,35,ES-35,paisaje naturaleza,canarias,las palmas,4.34,4.28,200377.5,las palmas
ES,38,ES-38,paisaje naturaleza,canarias,santa cruz de tenerife,4.31,4.26,190067.0,santa cruz de tenerife
ES,39,ES-39,paisaje naturaleza,cantabria,cantabria,4.36,4.27,37946.0,cantabria
ES,02,ES-02,paisaje naturaleza,castilla - la mancha,albacete,4.38,4.15,3169.0,albacete
ES,13,ES-13,paisaje naturaleza,castilla - la mancha,ciudad real,4.36,4.29,3026.5,ciudad real
ES,16,ES-16,paisaje naturaleza,castilla - la mancha,cuenca,4.42,4.19,3251.0,cuenca
ES,19,ES-19,paisaje naturaleza,castilla - la mancha,guadalajara,4.19,4.04,1303.0,guadalajara
ES,45,ES-45,paisaje naturaleza,castilla - la mancha,toledo,4.16,4.18,1715.0,toledo
ES,05,ES-05,paisaje naturaleza,castilla y leon,avila,4.56,4.23,1873.5,ávila
ES,09,ES-09,paisaje naturaleza,castilla y leon,burgos,4.44,4.28,6285.0,burgos
