id_municipio,id_municipio_parcial,id_provincia,id_ccaa,nombre
10031357,031357,03,10,"Vall d'Ebo, la"
10031382,031382,03,10,"Verger, el"
10031395,031395,03,10,"Vila Joiosa, la/Villajoyosa"
10031409,031409,03,10,Villena
10030823,030823,03,10,Xàbia/Jávea
10030818,030818,03,10,Xaló
10030839,030839,03,10,Xixona/Jijona
01040010,040010,04,01,Abla
01040025,040025,04,01,Abrucena
01040031,040031,04,01,Adra
01040046,040046,04,01,Albanchez
01040059,040059,04,01,Alboloduy
01040062,040062,04,01,Albox
01040078,040078,04,01,Alcolea
01040084,040084,04,01,Alcóntar
01040097,040097,04,01,Alcudia de Monteagud
01040101,040101,04,01,Alhabia
01040118,040118,04,01,Alhama de Almería
01040123,040123,04,01,Alicún
01040139,040139,04,01,Almería
01040144,040144,04,01,Almócita
01040157,040157,04,01,Alsodux
01040160,040160,04,01,Antas
01040176,040176,04,01,Arboleas
01040182,040182,04,01,Armuña de Almanzora
01040195,040195,04,01,Bacares
01049047,049047,04,01,Balanegra
01040209,040209,04,01,Bayárcal
01040216,040216,04,01,Bayarque
01040221,040221,04,01,Bédar
01040237,040237,04,01,Beires
01040242,040242,04,01,Benahadux
01040268,040268,04,01,Benitagla
01040274,040274,04,01,Benizalón
01040280,040280,04,01,Bentarique
01040293,040293,04,01,Berja
01040307,040307,04,01,Canjáyar
01040314,040314,04,01,Cantoria
01040329,040329,04,01,Carboneras
01040335,040335,04,01,Castro de Filabres
01040366,040366,04,01,Chercos
01040372,040372,04,01,Chirivel
01040340,040340,04,01,Cóbdar
01040353,040353,04,01,Cuevas del Almanzora
01040388,040388,04,01,Dalías
01049026,049026,04,01,"Ejido, El"
01040412,040412,04,01,Enix
01040433,040433,04,01,Felix
01040448,040448,04,01,Fines
01040451,040451,04,01,Fiñana
01040464,040464,04,01,Fondón
01040470,040470,04,01,Gádor
01040486,040486,04,01,"Gallardos, Los"
01040499,040499,04,01,Garrucha
01040502,040502,04,01,Gérgal
01040519,040519,04,01,Huécija
01040524,040524,04,01,Huércal de Almería
01040530,040530,04,01,Huércal-Overa
01040545,040545,04,01,Íllar
01040558,040558,04,01,Instinción
01040561,040561,04,01,Laroya
01040577,040577,04,01,Laujar de Andarax
01040583,040583,04,01,Líjar
01040596,040596,04,01,Lubrín
01040600,040600,04,01,Lucainena de las Torres
01040617,040617,04,01,Lúcar
01040622,040622,04,01,Macael
01040638,040638,04,01,María
01040643,040643,04,01,Mojácar
01049032,049032,04,01,"Mojonera, La"
01040656,040656,04,01,Nacimiento
01040669,040669,04,01,Níjar
01040675,040675,04,01,Ohanes
01040681,040681,04,01,Olula de Castro
01040694,040694,04,01,Olula del Río
01040708,040708,04,01,Oria
01040715,040715,04,01,Padules
01040720,040720,04,01,Partaloa
01040736,040736,04,01,Paterna del Río
01040741,040741,04,01,Pechina
01040754,040754,04,01,Pulpí
01040767,040767,04,01,Purchena
01040773,040773,04,01,Rágol
01040789,040789,04,01,Rioja
01040792,040792,04,01,Roquetas de Mar
01040806,040806,04,01,Santa Cruz de Marchena
01040813,040813,04,01,Santa Fe de Mondújar
01040828,040828,04,01,Senés
01040834,040834,04,01,Serón
01040849,040849,04,01,Sierro
01040852,040852,04,01,Somontín
01040865,040865,04,01,Sorbas
01040871,040871,04,01,Suflí
01040887,040887,04,01,Tabernas
01040890,040890,04,01,Taberno
01040904,040904,04,01,Tahal
01040911,040911,04,01,Terque
01040926,040926,04,01,Tíjola
01049011,049011,04,01,"Tres Villas, Las"
01040932,040932,04,01,Turre
01040947,040947,04,01,Turrillas
01040950,040950,04,01,Uleila del Campo
01040963,040963,04,01,Urrácal
01040979,040979,04,01,Velefique
01040985,040985,04,01,Vélez-Blanco
01040998,040998,04,01,Vélez-Rubio
01041002,041002,04,01,Vera
01041019,041019,04,01,Viator
01041024,041024,04,01,Vícar
01041030,041030,04,01,Zurgena
07050013,050013,05,07,Adanero
07050028,050028,05,07,"Adrada, La"
07050052,050052,05,07,Albornos
07050071,050071,05,07,Aldeanueva de Santa Cruz
07050087,050087,05,07,Aldeaseca
07050104,050104,05,07,"Aldehuela, La"
07050126,050126,05,07,Amavida
07050132,050132,05,07,"Arenal, El"
07050147,050147,05,07,Arenas de San Pedro
07050150,050150,05,07,Arevalillo
07050163,050163,05,07,Arévalo
07050179,050179,05,07,Aveinte
07050185,050185,05,07,Avellaneda
07050198,050198,05,07,Ávila
07050219,050219,05,07,"Barco de Ávila, El"
07050224,050224,05,07,"Barraco, El"
07050230,050230,05,07,Barromán
07050245,050245,05,07,Becedas
07050258,050258,05,07,Becedillas
07050261,050261,05,07,Bercial de Zapardiel
07050277,050277,05,07,"Berlanas, Las"
07050296,050296,05,07,Bernuy-Zapardiel
07050300,050300,05,07,Berrocalejo de Aragona
07050338,050338,05,07,Blascomillán
07050343,050343,05,07,Blasconuño de Matacabras
07050356,050356,05,07,Blascosancho
07050369,050369,05,07,"Bohodón, El"
07050375,050375,05,07,Bohoyo
07050381,050381,05,07,Bonilla de la Sierra
07050394,050394,05,07,Brabos
07050408,050408,05,07,Bularros
07050415,050415,05,07,Burgohondo
07050420,050420,05,07,Cabezas de Alambre
07050436,050436,05,07,Cabezas del Pozo
07050441,050441,05,07,Cabezas del Villar
07050454,050454,05,07,Cabizuela
07050467,050467,05,07,Canales
07050473,050473,05,07,Candeleda
07050489,050489,05,07,Cantiveros
07050492,050492,05,07,Cardeñosa
07050512,050512,05,07,"Carrera, La"
07050527,050527,05,07,Casas del Puerto
07050533,050533,05,07,Casasola
07050548,050548,05,07,Casavieja
07050551,050551,05,07,Casillas
07050564,050564,05,07,Castellanos de Zapardiel
07050570,050570,05,07,Cebreros
07050586,050586,05,07,Cepeda la Mora
07050678,050678,05,07,Chamartín
07050599,050599,05,07,Cillán
07050603,050603,05,07,Cisla
07050610,050610,05,07,"Colilla, La"
07050625,050625,05,07,Collado de Contreras
07050631,050631,05,07,Collado del Mirón
07050646,050646,05,07,Constanzana
07050659,050659,05,07,Crespos
07050662,050662,05,07,Cuevas del Valle
07059035,059035,05,07,Diego del Carpio
07050697,050697,05,07,Donjimeno
07050701,050701,05,07,Donvidas
07050723,050723,05,07,Espinosa de los Caballeros
07050739,050739,05,07,Flores de Ávila
07050744,050744,05,07,Fontiveros
07050757,050757,05,07,Fresnedilla
07050760,050760,05,07,"Fresno, El"
07050776,050776,05,07,Fuente el Saúz
07050782,050782,05,07,Fuentes de Año
07050795,050795,05,07,Gallegos de Altamiros
07050809,050809,05,07,Gallegos de Sobrinos
07050816,050816,05,07,Garganta del Villar
07050821,050821,05,07,Gavilanes
07050837,050837,05,07,Gemuño
07050855,050855,05,07,Gil García
07050842,050842,05,07,Gilbuena
07050868,050868,05,07,Gimialcón
07050874,050874,05,07,Gotarrendura
07050880,050880,05,07,Grandes y San Martín
07050893,050893,05,07,Guisando
07050907,050907,05,07,Gutierre-Muñoz
