AÑO;MES;CCAA;TIPO_VIVIENDA;VIVIENDAS_TURISTICAS;PLAZAS;VALORACIONES;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;5;Cataluña;No aplica;0;0;;;0,0;
2023;5;Cataluña;Otros;5;5;4,59;1,0;0,0;220,6
2023;5;Ceuta;Alternativo;1;5;4,31;5,0;0,0;81,0
2023;5;Ceuta;Casa entera;35;141;3,07;4,03;0,12;820,14
2023;5;Ceuta;Habitación privada;8;31;3,85;3,88;0,03;58,0
2023;5;Ceuta;No aplica;0;0;;;0,0;
2023;5;Comunidad Foral de Navarra;Alternativo;24;134;4,67;5,58;0,01;223,5
2023;5;Comunidad Foral de Navarra;Apartamento;38;158;4,74;4,16;0,01;165,39
2023;5;Comunidad Foral de Navarra;Casa entera;944;5384;4,49;5,7;0,29;250,74
2023;5;Comunidad Foral de Navarra;Habitación compartida;15;121;4,18;8,07;0,0;232,33
2023;5;Comunidad Foral de Navarra;Habitación privada;405;1151;4,62;2,84;0,12;115,05
2023;5;Comunidad Foral de Navarra;No aplica;0;0;;;0,0;
2023;5;Comunidad de Madrid;Alternativo;114;461;4,67;4,04;0,0;141,15
2023;5;Comunidad de Madrid;Apartamento;640;2452;4,62;3,83;0,02;284,96
2023;5;Comunidad de Madrid;Casa entera;12320;56541;4,52;4,59;0,42;220,86
2023;5;Comunidad de Madrid;Habitación compartida;86;253;4,61;2,94;0,0;50,78
2023;5;Comunidad de Madrid;Habitación privada;5242;13029;4,61;2,49;0,18;104,36
2023;5;Comunidad de Madrid;No aplica;0;0;;;0,0;
2023;5;Comunidad de Madrid;Otros;9;14;4,67;1,56;0,0;125,67
2023;5;Comunitat Valenciana;Alternativo;515;2240;4,71;4,35;0,02;202,75
2023;5;Comunitat Valenciana;Apartamento;1259;5085;4,64;4,04;0,04;126,44
2023;5;Comunitat Valenciana;Casa entera;49558;268102;4,62;5,41;1,51;242,58
2023;5;Comunitat Valenciana;Habitación compartida;31;135;4,69;4,35;0,0;49,1
2023;5;Comunitat Valenciana;Habitación privada;4968;13063;4,61;2,63;0,15;85,41
2023;5;Comunitat Valenciana;No aplica;0;0;;;0,0;
2023;5;Comunitat Valenciana;Otros;6;5;4,68;0,83;0,0;104,67
