_id,mes,empresa,tipo_de_servicio,tipo_de_producto,trayecto,precio
184,2023-08,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,51.95000
185,2023-08,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,29.09000
186,2023-08,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,23.02000
187,2023-08,Total,Comercial,LD AV,Madrid-Alicante,46.18000
188,2023-08,Total,Comercial,LD AV,Madrid-Barcelona,47.53000
189,2023-08,Total,Comercial,LD AV,Madrid-Málaga,60.35000
190,2023-08,Total,Comercial,LD AV,Madrid-Sevilla,45.64000
191,2023-08,Total,Comercial,LD AV,Madrid-Valencia,29.82000
192,2023-09,Iryo,Comercial,LD AV,Madrid-Alicante,25.42000
193,2023-09,Iryo,Comercial,LD AV,Madrid-Barcelona,39.59000
194,2023-09,Iryo,Comercial,LD AV,Madrid-Málaga,43.37000
195,2023-09,Iryo,Comercial,LD AV,Madrid-Sevilla,40.03000
196,2023-09,Iryo,Comercial,LD AV,Madrid-Valencia,19.72000
197,2023-09,OUIGO,Comercial,LD AV,Madrid-Alicante,22.50000
198,2023-09,OUIGO,Comercial,LD AV,Madrid-Barcelona,37.51000
199,2023-09,OUIGO,Comercial,LD AV,Madrid-Valencia,19.22000
200,2023-09,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,52.14000
201,2023-09,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,68.35000
202,2023-09,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,51.44000
203,2023-09,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,58.30000
204,2023-09,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,33.59000
205,2023-09,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,23.54000
206,2023-09,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,40.45000
207,2023-09,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,45.45000
208,2023-09,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,32.96000
209,2023-09,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,18.68000
210,2023-09,Total,Comercial,LD AV,Madrid-Alicante,42.10000
211,2023-09,Total,Comercial,LD AV,Madrid-Barcelona,52.11000
212,2023-09,Total,Comercial,LD AV,Madrid-Málaga,48.79000
213,2023-09,Total,Comercial,LD AV,Madrid-Sevilla,50.31000
214,2023-09,Total,Comercial,LD AV,Madrid-Valencia,25.62000
215,2023-10,Iryo,Comercial,LD AV,Madrid-Alicante,33.04000
216,2023-10,Iryo,Comercial,LD AV,Madrid-Barcelona,40.09000
217,2023-10,Iryo,Comercial,LD AV,Madrid-Málaga,40.03000
218,2023-10,Iryo,Comercial,LD AV,Madrid-Sevilla,43.54000
219,2023-10,Iryo,Comercial,LD AV,Madrid-Valencia,24.15000
220,2023-10,OUIGO,Comercial,LD AV,Madrid-Alicante,25.34000
221,2023-10,OUIGO,Comercial,LD AV,Madrid-Barcelona,37.31000
222,2023-10,OUIGO,Comercial,LD AV,Madrid-Valencia,21.66000
223,2023-10,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,47.51000
224,2023-10,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,65.02000
225,2023-10,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,51.99000
226,2023-10,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,59.24000
227,2023-10,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,35.58000
228,2023-10,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,24.29000
229,2023-10,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,42.05000
230,2023-10,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,40.56000
231,2023-10,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,34.15000
232,2023-10,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,21.84000
233,2023-10,Total,Comercial,LD AV,Madrid-Alicante,40.70000
234,2023-10,Total,Comercial,LD AV,Madrid-Barcelona,51.00000
235,2023-10,Total,Comercial,LD AV,Madrid-Málaga,48.25000
236,2023-10,Total,Comercial,LD AV,Madrid-Sevilla,52.94000
237,2023-10,Total,Comercial,LD AV,Madrid-Valencia,28.64000
238,2023-11,Iryo,Comercial,LD AV,Madrid-Alicante,32.27000
239,2023-11,Iryo,Comercial,LD AV,Madrid-Barcelona,38.60000
240,2023-11,Iryo,Comercial,LD AV,Madrid-Málaga,38.84000
241,2023-11,Iryo,Comercial,LD AV,Madrid-Sevilla,42.99000
242,2023-11,Iryo,Comercial,LD AV,Madrid-Valencia,23.85000
243,2023-11,OUIGO,Comercial,LD AV,Madrid-Alicante,21.88000
244,2023-11,OUIGO,Comercial,LD AV,Madrid-Barcelona,34.86000
245,2023-11,OUIGO,Comercial,LD AV,Madrid-Valencia,21.26000
246,2023-11,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,41.78000
247,2023-11,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,61.20000
248,2023-11,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,49.37000
249,2023-11,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,55.44000
250,2023-11,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,35.98000
251,2023-11,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,22.74000
252,2023-11,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,41.19000
253,2023-11,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,39.28000
254,2023-11,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,36.79000
255,2023-11,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,20.90000
256,2023-11,Total,Comercial,LD AV,Madrid-Alicante,35.89000
257,2023-11,Total,Comercial,LD AV,Madrid-Barcelona,48.43000
258,2023-11,Total,Comercial,LD AV,Madrid-Málaga,46.17000
259,2023-11,Total,Comercial,LD AV,Madrid-Sevilla,50.99000
260,2023-11,Total,Comercial,LD AV,Madrid-Valencia,28.55000
261,2023-12,Iryo,Comercial,LD AV,Madrid-Alicante,32.42000
262,2023-12,Iryo,Comercial,LD AV,Madrid-Barcelona,50.83000
263,2023-12,Iryo,Comercial,LD AV,Madrid-Málaga,49.35000
264,2023-12,Iryo,Comercial,LD AV,Madrid-Sevilla,52.44000
265,2023-12,Iryo,Comercial,LD AV,Madrid-Valencia,28.54000
266,2023-12,OUIGO,Comercial,LD AV,Madrid-Alicante,30.81000
267,2023-12,OUIGO,Comercial,LD AV,Madrid-Barcelona,43.13000
268,2023-12,OUIGO,Comercial,LD AV,Madrid-Valencia,25.54000
269,2023-12,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,46.96000
270,2023-12,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,67.07000
