CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL
Comida y Bebida;Castilla - La Mancha;Cuenca;4,68;102;4,19
Comida y Bebida;Castilla - La Mancha;Guadalajara;3,0;4;4,04
Comida y Bebida;Castilla y León;Burgos;4,9;158;4,28
Comida y Bebida;Castilla y León;Salamanca;4,84;54;4,17
Comida y Bebida;Castilla y León;Soria;4,5;4;3,97
Comida y Bebida;Castilla y León;Ávila;4,72;20;4,23
Comida y Bebida;Cataluña;Barcelona;4,67;3911;4,05
Comida y Bebida;Cataluña;Tarragona;4,67;481;4,2
Comida y Bebida;Comunidad Foral de Navarra;Navarra;4,63;135;4,23
Comida y Bebida;Comunitat Valenciana;Valencia/València;4,79;369;4,15
Comida y Bebida;Illes Balears;Illes Balears;4,86;2196;4,33
Comida y Bebida;País Vasco;Araba/Álava;4,37;303;4,41
Comida y Bebida;País Vasco;Gipuzkoa;4,44;1099;4,41
Compras;Andalucía;Almería;4,23;2490;4,19
Compras;Andalucía;Cádiz;4,16;1319;4,26
Compras;Andalucía;Córdoba;4,28;1822;4,29
Compras;Andalucía;Granada;4,34;7661;4,37
Compras;Andalucía;Huelva;4,15;1395;4,11
Compras;Andalucía;Jaén;4,55;484;4,33
Compras;Andalucía;Málaga;4,36;19512;4,43
Compras;Andalucía;Sevilla;3,84;7574;4,34
Compras;Aragón;Huesca;4,25;279;4,25
Compras;Aragón;Teruel;4,16;129;4,28
Compras;Aragón;Zaragoza;4,41;3119;4,21
Compras;Canarias;Las Palmas;3,9;20086;4,28
Compras;Canarias;Santa Cruz de Tenerife;4,07;9442;4,26
Compras;Cantabria;Cantabria;4,07;1328;4,27
Compras;Castilla - La Mancha;Albacete;3,36;90;4,15
Compras;Castilla - La Mancha;Ciudad Real;4,64;147;4,29
Compras;Castilla - La Mancha;Cuenca;4,52;59;4,19
Compras;Castilla - La Mancha;Guadalajara;4,49;88;4,04
Compras;Castilla - La Mancha;Toledo;4,76;2638;4,18
Compras;Castilla y León;Burgos;4,13;148;4,28
Compras;Castilla y León;León;4,31;389;4,21
Compras;Castilla y León;Palencia;4,38;146;4,35
Compras;Castilla y León;Salamanca;4,47;470;4,17
Compras;Castilla y León;Segovia;4,57;395;4,07
Compras;Castilla y León;Soria;4,51;56;3,97
Compras;Castilla y León;Valladolid;4,08;485;4,06
Compras;Castilla y León;Zamora;4,36;242;4,17
Compras;Castilla y León;Ávila;3,71;82;4,23
Compras;Cataluña;Barcelona;3,75;95381;4,05
Compras;Cataluña;Girona;4,09;3158;4,24
Compras;Cataluña;Lleida;4,4;233;4,27
Compras;Cataluña;Tarragona;4,19;2200;4,2
Compras;Comunidad Foral de Navarra;Navarra;4,29;798;4,23
Compras;Comunidad de Madrid;Madrid;3,83;89796;4,1
Compras;Comunitat Valenciana;Alicante/Alacant;4,22;12577;4,28
Compras;Comunitat Valenciana;Castellón/Castelló;4,41;773;4,2
Compras;Comunitat Valenciana;Valencia/València;3,72;81279;4,15
Compras;Extremadura;Badajoz;4,56;605;4,29
Compras;Extremadura;Cáceres;4,54;545;4,33
Compras;Galicia;A Coruña;3,99;5636;4,21
Compras;Galicia;Lugo;4,37;221;4,28
Compras;Galicia;Ourense;3,69;192;4,15
Compras;Galicia;Pontevedra;4,27;3054;4,17
Compras;Illes Balears;Illes Balears;4,17;22175;4,33
Compras;La Rioja;La Rioja;4,36;872;4,31
Compras;País Vasco;Araba/Álava;3,88;300;4,41
Compras;País Vasco;Bizkaia;3,8;694;4,31
Compras;País Vasco;Gipuzkoa;4,35;2233;4,41
Compras;Principado de Asturias;Asturias;4,23;2445;4,35
Compras;Región de Murcia;Murcia;3,89;1222;4,2
Desconocido;Canarias;Las Palmas;4,4;6;4,28
Desconocido;Canarias;Santa Cruz de Tenerife;5,0;29;4,26
Desconocido;Cataluña;Barcelona;3,71;7;4,05
Desconocido;Comunidad de Madrid;Madrid;4,1;20;4,1
Desconocido;Comunitat Valenciana;Alicante/Alacant;4,31;164;4,28
Desconocido;Comunitat Valenciana;Valencia/València;5,0;1;4,15
Desconocido;Illes Balears;Illes Balears;4,47;15;4,33
Museos;Andalucía;Almería;4,4;5483;4,19
Museos;Andalucía;Cádiz;4,39;5855;4,26
Museos;Andalucía;Córdoba;4,32;24412;4,29
Museos;Andalucía;Granada;4,38;15565;4,37
Museos;Andalucía;Huelva;4,26;5721;4,11
Museos;Andalucía;Jaén;4,2;5273;4,33
Museos;Andalucía;Málaga;4,46;53147;4,43
Museos;Andalucía;Sevilla;4,38;27703;4,34
Museos;Aragón;Huesca;4,25;4330;4,25
Museos;Aragón;Teruel;4,3;2728;4,28
Museos;Aragón;Zaragoza;4,54;10062;4,21
Museos;Canarias;Las Palmas;4,31;30388;4,28
Museos;Canarias;Santa Cruz de Tenerife;4,24;11992;4,26
Museos;Cantabria;Cantabria;4,33;17037;4,27
Museos;Castilla - La Mancha;Albacete;4,05;973;4,15
Museos;Castilla - La Mancha;Ciudad Real;4,33;3174;4,29
Museos;Castilla - La Mancha;Cuenca;4,47;6327;4,19
Museos;Castilla - La Mancha;Guadalajara;4,36;1325;4,04
Museos;Castilla - La Mancha;Toledo;4,25;23479;4,18
Museos;Castilla y León;Burgos;4,3;11292;4,28
Museos;Castilla y León;León;4,27;4886;4,21
Museos;Castilla y León;Palencia;4,56;2541;4,35
Museos;Castilla y León;Salamanca;4,37;8515;4,17
Museos;Castilla y León;Segovia;4,22;23494;4,07
Museos;Castilla y León;Soria;4,12;785;3,97
Museos;Castilla y León;Valladolid;4,33;9630;4,06
Museos;Castilla y León;Zamora;4,33;1817;4,17
Museos;Castilla y León;Ávila;4,54;1435;4,23
Museos;Cataluña;Barcelona;4,13;166365;4,05
Museos;Cataluña;Girona;4,14;32473;4,24
Museos;Cataluña;Lleida;4,33;4267;4,27
Museos;Cataluña;Tarragona;4,37;6958;4,2
Museos;Comunidad Foral de Navarra;Navarra;4,19;6578;4,23
Museos;Comunidad de Madrid;Madrid;4,27;339299;4,1
Museos;Comunitat Valenciana;Alicante/Alacant;4,25;16794;4,28
Museos;Comunitat Valenciana;Castellón/Castelló;3,85;1296;4,2
Museos;Comunitat Valenciana;Valencia/València;4,27;78597;4,15
Museos;Extremadura;Badajoz;4,27;8124;4,29
Museos;Extremadura;Cáceres;4,27;7275;4,33
Museos;Galicia;A Coruña;4,3;9787;4,21
Museos;Galicia;Lugo;4,4;3142;4,28
Museos;Galicia;Ourense;4,32;742;4,15
Museos;Galicia;Pontevedra;3,95;4057;4,17
Museos;Illes Balears;Illes Balears;4,08;22216;4,33
Museos;La Rioja;La Rioja;4,15;2077;4,31
Museos;País Vasco;Araba/Álava;4,41;2209;4,41
Museos;País Vasco;Bizkaia;4,47;64338;4,31
Museos;País Vasco;Gipuzkoa;4,46;7951;4,41
Museos;Principado de Asturias;Asturias;4,39;23145;4,35
Museos;Región de Murcia;Murcia;4,42;2535;4,2
Otros;Andalucía;Almería;4,31;238;4,19
Otros;Andalucía;Cádiz;4,12;284;4,26
Otros;Andalucía;Córdoba;4,46;478;4,29
Otros;Andalucía;Granada;4,48;161;4,37
Otros;Andalucía;Huelva;4,09;164;4,11
Otros;Andalucía;Jaén;4,24;765;4,33
Otros;Andalucía;Málaga;4,25;1156;4,43
Otros;Andalucía;Sevilla;3,68;431;4,34
Otros;Aragón;Huesca;4,26;61;4,25
Otros;Aragón;Teruel;4,17;5064;4,28
Otros;Aragón;Zaragoza;3,75;158;4,21
Otros;Canarias;Las Palmas;4,24;347;4,28
Otros;Canarias;Santa Cruz de Tenerife;4,2;1825;4,26
Otros;Cantabria;Cantabria;4,29;232;4,27
Otros;Castilla - La Mancha;Albacete;3,41;78;4,15
Otros;Castilla - La Mancha;Ciudad Real;4,21;156;4,29
Otros;Castilla - La Mancha;Cuenca;4,51;3406;4,19
Otros;Castilla - La Mancha;Guadalajara;3,98;45;4,04
Otros;Castilla - La Mancha;Toledo;4,06;82;4,18
Otros;Castilla y León;Burgos;4,53;428;4,28
Otros;Castilla y León;León;3,98;146;4,21
Otros;Castilla y León;Palencia;5,0;16;4,35
Otros;Castilla y León;Salamanca;4,17;760;4,17
Otros;Castilla y León;Segovia;4,22;248;4,07
Otros;Castilla y León;Soria;3,82;60;3,97
Otros;Castilla y León;Valladolid;4,45;83;4,06
Otros;Castilla y León;Zamora;3,68;378;4,17
Otros;Castilla y León;Ávila;3,61;173;4,23
Otros;Cataluña;Barcelona;4,08;4031;4,05
Otros;Cataluña;Girona;4,07;798;4,24
Otros;Cataluña;Lleida;3,88;79;4,27
Otros;Cataluña;Tarragona;4,01;1769;4,2
Otros;Comunidad Foral de Navarra;Navarra;4,27;500;4,23
Otros;Comunidad de Madrid;Madrid;3,85;3228;4,1
Otros;Comunitat Valenciana;Alicante/Alacant;4,21;620;4,28
Otros;Comunitat Valenciana;Castellón/Castelló;3,95;247;4,2
Otros;Comunitat Valenciana;Valencia/València;3,98;1241;4,15
Otros;Extremadura;Badajoz;3,9;311;4,29
Otros;Extremadura;Cáceres;4,42;727;4,33
Otros;Galicia;A Coruña;4,09;200;4,21
Otros;Galicia;Lugo;3,88;192;4,28
Otros;Galicia;Ourense;4,73;26;4,15
Otros;Galicia;Pontevedra;4,43;119;4,17
Otros;Illes Balears;Illes Balears;3,95;576;4,33
Otros;La Rioja;La Rioja;4,09;363;4,31
Otros;País Vasco;Bizkaia;4,87;794;4,31
Otros;País Vasco;Gipuzkoa;4,01;57;4,41
Otros;Principado de Asturias;Asturias;4,4;92;4,35
Otros;Región de Murcia;Murcia;3,14;7;4,2
Paisaje Naturaleza;Andalucía;Almería;4,33;6456;4,19
Paisaje Naturaleza;Andalucía;Cádiz;4,15;8582;4,26
Paisaje Naturaleza;Andalucía;Córdoba;4,23;1714;4,29
Paisaje Naturaleza;Andalucía;Granada;4,47;9923;4,37
Paisaje Naturaleza;Andalucía;Huelva;4,06;4741;4,11
Paisaje Naturaleza;Andalucía;Jaén;4,25;1756;4,33
Paisaje Naturaleza;Andalucía;Málaga;4,42;52233;4,43
Paisaje Naturaleza;Andalucía;Sevilla;4,57;30231;4,34
Paisaje Naturaleza;Aragón;Huesca;4,54;10688;4,25
Paisaje Naturaleza;Aragón;Teruel;4,19;1102;4,28
Paisaje Naturaleza;Aragón;Zaragoza;4,21;7273;4,21
Paisaje Naturaleza;Canarias;Las Palmas;4,21;138297;4,28
Paisaje Naturaleza;Canarias;Santa Cruz de Tenerife;4,26;78999;4,26
Paisaje Naturaleza;Cantabria;Cantabria;4,27;31608;4,27
Paisaje Naturaleza;Castilla - La Mancha;Albacete;4,27;1264;4,15
Paisaje Naturaleza;Castilla - La Mancha;Ciudad Real;4,26;3824;4,29
Paisaje Naturaleza;Castilla - La Mancha;Cuenca;4,42;1708;4,19
Paisaje Naturaleza;Castilla - La Mancha;Guadalajara;4,03;195;4,04
Paisaje Naturaleza;Castilla - La Mancha;Toledo;3,92;153;4,18
Paisaje Naturaleza;Castilla y León;Burgos;4,34;3302;4,28
Paisaje Naturaleza;Castilla y León;León;4,5;1570;4,21
Paisaje Naturaleza;Castilla y León;Palencia;4,42;170;4,35
Paisaje Naturaleza;Castilla y León;Salamanca;4,3;3291;4,17
Paisaje Naturaleza;Castilla y León;Segovia;4,01;4988;4,07
Paisaje Naturaleza;Castilla y León;Soria;4,19;3374;3,97
Paisaje Naturaleza;Castilla y León;Valladolid;3,84;4399;4,06
Paisaje Naturaleza;Castilla y León;Zamora;4,32;3211;4,17
Paisaje Naturaleza;Castilla y León;Ávila;4,63;799;4,23
Paisaje Naturaleza;Cataluña;Barcelona;3,91;289358;4,05
Paisaje Naturaleza;Cataluña;Girona;4,32;35511;4,24
Paisaje Naturaleza;Cataluña;Lleida;4,21;3800;4,27
Paisaje Naturaleza;Cataluña;Tarragona;4,07;17371;4,2
Paisaje Naturaleza;Comunidad Foral de Navarra;Navarra;4,09;2300;4,23
Paisaje Naturaleza;Comunidad de Madrid;Madrid;4,13;213350;4,1
Paisaje Naturaleza;Comunitat Valenciana;Alicante/Alacant;4,26;32373;4,28
Paisaje Naturaleza;Comunitat Valenciana;Castellón/Castelló;4,0;2549;4,2
Paisaje Naturaleza;Comunitat Valenciana;Valencia/València;4,25;32482;4,15
Paisaje Naturaleza;Extremadura;Badajoz;4,42;566;4,29
Paisaje Naturaleza;Extremadura;Cáceres;4,45;6256;4,33
Paisaje Naturaleza;Galicia;A Coruña;4,35;16393;4,21
Paisaje Naturaleza;Galicia;Lugo;4,56;1120;4,28
Paisaje Naturaleza;Galicia;Ourense;4,33;149;4,15
Paisaje Naturaleza;Galicia;Pontevedra;4,23;7382;4,17
Paisaje Naturaleza;Illes Balears;Illes Balears;4,39;85977;4,33
Paisaje Naturaleza;La Rioja;La Rioja;4,2;1184;4,31
Paisaje Naturaleza;Melilla;Melilla;4,83;39;3,94
Paisaje Naturaleza;País Vasco;Araba/Álava;4,66;1638;4,41
Paisaje Naturaleza;País Vasco;Bizkaia;4,37;8009;4,31
Paisaje Naturaleza;País Vasco;Gipuzkoa;4,53;20100;4,41
Paisaje Naturaleza;Principado de Asturias;Asturias;4,35;35811;4,35
Paisaje Naturaleza;Región de Murcia;Murcia;4,38;1018;4,2
Paisaje Urbano;Andalucía;Almería;4,0;22567;4,19
Paisaje Urbano;Andalucía;Cádiz;4,15;15413;4,26
Paisaje Urbano;Andalucía;Córdoba;4,15;196864;4,29
