mes,categoria_alojamiento,periodo_antelacion,valoraciones_norm,tiene_valoraciones,tipo_dia,precio
3,hotel 4 estrellas,3 meses,3.9905,True,semana,103.33
3,hotel 5 estrellas,1 mes,3.4850000000000003,True,semana,180.0
3,hotel 5 estrellas,1 semana,3.4850000000000003,True,semana,187.67
3,hotel 5 estrellas,2 semanas,3.4850000000000003,True,semana,180.67
3,hotel 5 estrellas,3 meses,3.4850000000000003,True,semana,161.33
4,hotel 3 estrellas,1 mes,3.8005,True,semana,106.67
4,hotel 3 estrellas,1 semana,3.8005,True,semana,102.67
4,hotel 3 estrellas,2 semanas,3.8005,True,semana,103.67
4,hotel 3 estrellas,3 meses,3.8005,True,semana,106.67
4,hotel 4 estrellas,1 mes,3.661,True,semana,133.0
4,hotel 4 estrellas,1 semana,3.661,True,semana,136.67
4,hotel 4 estrellas,2 semanas,3.661,True,semana,137.33
4,hotel 4 estrellas,3 meses,3.661,True,semana,137.33
4,hotel 5 estrellas,1 mes,4.371,True,semana,233.0
4,hotel 5 estrellas,1 semana,4.371,True,semana,227.33
4,hotel 5 estrellas,2 semanas,4.371,True,semana,237.67
4,hotel 5 estrellas,3 meses,4.371,True,semana,241.33
5,hotel 3 estrellas,1 mes,3.4810000000000003,True,semana,106.67
5,hotel 3 estrellas,1 semana,3.4810000000000003,True,semana,101.67
5,hotel 3 estrellas,2 semanas,3.4810000000000003,True,semana,105.33
5,hotel 3 estrellas,3 meses,3.4810000000000003,True,semana,118.0
5,hotel 4 estrellas,1 mes,3.533,True,semana,146.0
5,hotel 4 estrellas,1 semana,3.533,True,semana,140.67
5,hotel 4 estrellas,2 semanas,3.533,True,semana,145.33
5,hotel 4 estrellas,3 meses,3.533,True,semana,156.0
5,hotel 5 estrellas,1 mes,4.096500000000001,True,semana,245.33
5,hotel 5 estrellas,1 semana,4.096500000000001,True,semana,249.33
5,hotel 5 estrellas,2 semanas,4.096500000000001,True,semana,255.33
5,hotel 5 estrellas,3 meses,4.096500000000001,True,semana,263.67
6,hotel 3 estrellas,1 mes,4.2905,True,semana,77.33
6,hotel 3 estrellas,1 semana,4.2905,True,semana,72.0
6,hotel 3 estrellas,2 semanas,4.2905,True,semana,74.67
