provincia,a coruna,albacete,alicante/alacant,almeria,araba/alava,asturias,avila,badajoz,barcelona,bizkaia,burgos,caceres,cadiz,cantabria,castellon/castello,ceuta,ciudad real,cordoba,cuenca,gipuzkoa,girona,granada,guadalajara,huelva,huesca,illes balears,jaen,la rioja,las palmas,leon,lleida,lugo,madrid,malaga,murcia,navarra,ourense,palencia,pontevedra,salamanca,santa cruz de tenerife,segovia,sevilla,soria,tarragona,teruel,toledo,valencia/valencia,valladolid,zamora,zaragoza
burgos,-0.42227808400261235,0.10982279023827297,-0.7843009735896089,-0.09185863248992987,-0.23277651896203858,-0.4888285648971339,0.42142164109114466,0.2249075517834866,-0.7200135614940262,-0.5936683792633071,1.0000000000000004,0.0891904679765665,-0.4007393654395295,0.6283525219377848,0.7145510231405979,0.5094926352780511,-0.07828476030739412,0.3432641623921276,0.6387680317847871,-0.16301988236063447,-0.3188635691650336,-0.05223045014294198,0.5276816903625926,0.6994863979271282,0.44827228348381676,-0.7219996190560146,0.033350634160369194,0.25929388830063205,-0.7360573379337051,0.17119035566420684,0.19655516801924108,0.6817483346533899,-0.6920828293007589,-0.5980925936759895,-0.5427912989207189,-0.06564518643501313,0.6086404263793559,0.6371539520275986,-0.35726402539484886,0.005498678642456892,-0.3936029063779151,0.40866327262173435,-0.6294003417589635,0.5145183941257667,-0.7479147269168172,0.7472491151335345,0.41229618731206985,-0.646064887890446,-0.5031533732942642,0.5201366880973785,-0.7969436841909774
caceres,0.5452503601450401,0.2420525953029338,-0.2335198108210258,-0.1297857357398606,0.5083780477553801,-0.18406447452687072,0.1920661607536532,0.7782704239519579,-0.5397090132397426,-0.400985004719878,0.0891904679765665,1.0000000000000004,0.04912287909383734,0.6267157907193118,0.21272123698727946,-0.08042061188755363,-0.33536089195552227,-0.044089764772674817,0.22617125285966183,0.689052119128079,0.4902797636527593,0.21364982885693606,0.4074640899972217,0.3490986340481881,-0.3415837583796658,-0.3919292516253471,0.39187533043065964,-0.23692496164341154,-0.14244729483792967,0.23576021414519124,-0.2610552426606886,0.435321727127003,-0.5516618256119096,-0.13299822914062004,0.23127349562501898,0.11567551652921876,0.13092133348058504,-0.07434165359114052,-0.08548195801457695,0.1739041440815032,0.3943306340291151,-0.32703337249594994,-0.22922444372530354,0.2510152325843129,-0.39861768656327434,-0.20614186349747687,0.15998115743874664,-0.5473523321027649,-0.21621628565150366,-0.23399988068484123,-0.4387806623636859
cadiz,0.46803908921035076,0.39606412818343756,0.5505939418568028,-0.3121671784967997,0.4473545927101866,0.18589003722874112,-0.46483412024680026,-0.14537752915400842,0.332430835253637,0.1662970258569617,-0.4007393654395295,0.04912287909383734,1.0000000000000002,-0.16961856910731551,-0.5039346573617848,-0.4155346234562123,-0.38378116365158843,-0.7690937808769421,-0.4162380908135917,0.1233479504709868,0.5762327167016328,0.4138052780012044,-0.3409844099042723,-0.6421468354475661,-0.07191685589208643,0.3892171148504371,0.3325130185681468,0.31409525229423163,0.4617705747255928,-0.12069960397206835,-0.6601624175506302,-0.45711931428145625,0.362136406803506,0.5743447483074974,0.7155727540219539,0.2736120448238743,-0.15550318578817576,-0.5402901984802504,0.06780489881004159,-0.45294241195670387,0.7243793162230991,-0.39360697986133164,0.4666137925430463,-0.16061843490173608,0.3002308580522494,-0.5064727972364482,-0.39588114730455365,0.4038390625919643,-0.20421637679479118,0.027662414063463765,0.41000061931244425
cantabria,0.2850165609311608,0.18472834501239918,-0.6079843815881241,-0.08605415977804423,0.1956298448110571,-0.605571777219848,0.12632103353530072,0.4830216348231351,-0.714028158422229,-0.5996444971096699,0.6283525219377848,0.6267157907193118,-0.16961856910731551,1.0,0.38475548961265205,0.2180199059325979,-0.5138638124761307,0.17958251766635527,0.6858319036246293,0.5173114828085116,0.1996780533333431,0.154336506886796,0.45959660736662955,0.5497419097520139,0.30638412884727717,-0.6963875721614582,0.31495475969609094,-0.040397295317432996,-0.4458056219315561,0.06283671162986015,-0.13703193797119453,0.6494709665377035,-0.7292341690496564,-0.4076862951502911,-0.0651898332381135,-0.13953965645911967,0.43373941884646944,0.2185618604130038,-0.030830221679711143,0.08707203802007173,0.17002367158072546,0.11570440965403461,-0.40729834706374163,0.48996468785938135,-0.727408699611861,0.34912765804564155,0.4495896732419408,-0.6897349377929477,-0.2771371208055337,0.1242454758827475,-0.7306904646529813
castellon/castello,-0.4119956103860479,0.14439986832322538,-0.7986342224404976,0.037749649472493776,-0.3329593802178369,-0.41418058319139467,0.6079750911364723,0.506556192298152,-0.6207104467158657,-0.5847201457648515,0.7145510231405979,0.21272123698727946,-0.5039346573617848,0.38475548961265205,1.0,0.3889662870187221,0.006880096549949775,0.4883140129232514,0.40457131841085975,-0.26077564577857004,-0.42282817222685526,-0.177186477458434,0.8138161279010427,0.8202472950652162,0.024749667545407673,-0.7563089849248953,-0.14200318074641213,0.07526107899928153,-0.7006276378620231,0.5270633473269982,0.27738866279604457,0.4810505476150105,-0.6431065388016507,-0.5954343878116816,-0.4503634316689172,0.34020108820755657,0.5787304431487192,0.5497206669644092,-0.37075159421739073,0.2935386036153228,-0.4294203912236407,0.21808744404413893,-0.7702624280456963,0.6737876590486703,-0.742927775956483,0.4229614903832037,0.23196148706226294,-0.6256658639143802,-0.3797780354115619,0.5573280725947437,-0.6974367271461734
ceuta,-0.29552519406034433,0.07313140289824271,-0.6245830076850409,-0.09190609628968517,-0.16064436106422986,-0.5123836091850265,0.2061526832659102,0.18085896425518072,-0.4465042676677127,-0.4103499900320631,0.5094926352780511,-0.08042061188755363,-0.4155346234562123,0.2180199059325979,0.3889662870187221,0.9999999999999998,0.013629719997057674,0.06740199589249038,0.5174321699581057,-0.26297586936570766,-0.2581683329081342,-0.32140002490391584,0.31767652909436295,0.4563867549849745,0.29616326690249506,-0.5367467837759885,-0.09444150169765854,-0.17240254534440907,-0.5575864268602082,-0.07207878053575836,0.17856587814335922,0.41239917081770766,-0.4696814382681138,-0.6454555775875759,-0.3234976482617547,-0.3537658423917972,0.4825264813863248,0.35963844263327077,-0.048497209225108015,0.036625125084623344,-0.4575966819478654,0.32613816085074354,-0.46320912905681416,0.39152711983731125,-0.40191359633354307,0.4598949557390771,0.322270707859005,-0.4442895617741969,-0.00880398492412151,0.38345314995689717,-0.46402184972396593
ciudad real,-0.5386256230058949,-0.5895967118503885,0.09381536798758797,-0.06514019942133355,-0.26480046283907,0.5845434615819028,0.429078232843071,-0.2673552184291037,0.05129420915309693,0.3724373636326588,-0.07828476030739412,-0.33536089195552227,-0.38378116365158843,-0.5138638124761307,0.006880096549949775,0.013629719997057674,0.9999999999999999,0.17654009659044256,-0.14550159865181594,-0.3825485218176459,-0.5498991426655521,-0.5474177406299453,-0.07380155592112117,0.07405499584575365,-0.20556427726910975,0.1852419193252197,-0.07369888658644437,0.1577975319977236,0.006186845562550997,0.25813439581854564,0.5735277716878482,-0.035385235669386214,0.21820906016304945,-0.21129591614628465,-0.5472376019299658,-0.03743350326387494,-0.1302805984189809,0.31446591762587633,-0.15582338880272528,-0.029236953107302538,-0.6538892339115152,0.2982544374499994,-0.13793314667780165,-0.22473302000075404,0.2640446246048546,0.07091701686482356,-0.1361951192847902,0.13592080165783657,-0.11852155292402126,-0.01882054625354388,0.05317549012409855
cordoba,-0.4089995550128252,-0.2884946292680191,-0.45415637114881796,0.4017326906576545,-0.5121718177179965,-0.17257647581906077,0.43905085253874654,0.041416251540919755,-0.3117114783443399,-0.1874571590909142,0.3432641623921276,-0.044089764772674817,-0.7690937808769421,0.17958251766635527,0.4883140129232514,0.06740199589249038,0.17654009659044256,1.0,0.19469925217255746,0.083260452247966,-0.5765094245991556,-0.18127723484606625,0.2540670198483817,0.3861721934417403,0.19058435967563653,-0.32351552653917703,-0.3571198286644096,-0.09439361330875459,-0.31369603658935913,0.23100103378097062,0.6270568975443007,0.3242811636950327,-0.32182232802102884,-0.13486449786983737,-0.4330111302032033,0.040744361191502244,0.12297176703786257,0.6934067959683249,-0.00536571428193388,0.22231348623376915,-0.5091907936406574,0.38469993538283687,-0.3927068395858873,0.008222678181251787,-0.45007978867331416,0.5942154082889106,0.11209084627585664,-0.40910790558758636,0.0002803604618982207,-0.10601598627487635,-0.30573074186420185
cuenca,0.06525080732013602,-0.2104038844096182,-0.7893887849046836,-0.11134385249126558,0.07675680707459567,-0.4296705127066157,0.39127525570370125,0.15971625151632823,-0.7476350127654374,-0.5131065775285134,0.6387680317847871,0.22617125285966183,-0.4162380908135917,0.6858319036246293,0.40457131841085975,0.5174321699581057,-0.14550159865181594,0.19469925217255746,1.0,0.1660269221783806,-0.1186592479915099,-0.2981673343374674,0.3993280783631362,0.622046965508145,0.4785782957922712,-0.7949847585201226,0.44549907134468986,0.05977631062929307,-0.6606816058749178,0.19773180684079467,0.31230586458274745,0.6804750655032951,-0.7885140178458788,-0.7194563875119905,-0.32540170026856197,-0.2825563628999067,0.5764017293713911,0.4242673105007686,0.14042475723349482,0.10173548948743522,-0.3303897497723472,0.2966994170275943,-0.6450461897901136,0.5565135228661553,-0.587670136872132,0.4985167407632296,0.5375544890594377,-0.7357319128584174,-0.06250713905933436,0.3930603742180106,-0.7908853998237632
gipuzkoa,0.6041270017854957,-0.1116500197732507,0.012617542135357181,0.019754382509227276,0.4179115463447377,-0.03834670098331206,-0.08424718537651661,0.19917866166795883,-0.2697800866802251,-0.0038438156577316925,-0.16301988236063447,0.689052119128079,0.1233479504709868,0.5173114828085116,-0.26077564577857004,-0.26297586936570766,-0.3825485218176459,0.083260452247966,0.1660269221783806,1.0,0.3656294287417323,0.1786917000177994,-0.08338373452168155,-0.06434262620772131,-0.09581130576765312,-0.09005581580626822,0.511542371444749,-0.03044093006221908,0.04933524382883504,-0.07678782460729072,-0.2109544819484978,0.3180641606562054,-0.26252046319557865,0.22346903327145,0.40602414570547474,0.03698462239043043,-0.1832034612864804,-0.08385870623431375,0.1453579329450829,0.003427835907910173,0.3905775665247167,-0.24843652169160121,0.061593716480010774,-0.17926380522606256,-0.19977139142964126,-0.10747221957799186,0.16020696176688567,-0.29709186955158046,0.047343180754119904,-0.42397993046170923,-0.16057680846390235
girona,0.805532847579722,0.4654547167241038,0.40127889414153717,-0.1384164560475689,0.5963009650323865,-0.027222980102414657,-0.31359885199927484,0.3320159335146461,0.09275294657143864,-0.22618274552956583,-0.3188635691650336,0.4902797636527593,0.5762327167016328,0.1996780533333431,-0.42282817222685526,-0.2581683329081342,-0.5498991426655521,-0.5765094245991556,-0.1186592479915099,0.3656294287417323,1.0,0.5184530285289016,-0.1974166294890629,-0.33556518276879194,-0.17444918264629858,0.18531518602483854,0.21218151591656007,-0.3367715716255403,0.3974715850158048,-0.18655657142527207,-0.5889563118324659,-0.11781872457920976,-0.003250731824253361,0.33414527117365445,0.5298190190722243,-0.2302555109882174,-0.06983505218800468,-0.567828845477655,0.2226805759740773,-0.19076206463908524,0.8600072626263288,-0.4461013268395719,0.37646015173012476,-0.08301420078279667,0.2394829684800213,-0.45448872262746803,-0.0846754906070754,0.02869326546034286,0.06584220163822113,-0.4463326311984188,0.12552078246795673
granada,0.25164189571954065,0.4342085505164227,0.31663808800619636,-0.0521713704541023,0.5398203245812117,0.04832524405937756,-0.5381784338855642,0.19226098341256773,0.18371566916710377,0.0653229929487354,-0.05223045014294198,0.21364982885693606,0.4138052780012044,0.154336506886796,-0.177186477458434,-0.32140002490391584,-0.5474177406299453,-0.18127723484606625,-0.2981673343374674,0.1786917000177994,0.5184530285289016,1.0,-0.4159961216078902,-0.32611621296678234,0.00611094537886292,0.33395405163846265,0.0012272621412918636,-0.025877794739380802,0.30074543105442336,-0.4388636033151212,-0.4298470334241889,-0.22909217821025935,0.04223988091806363,0.568226334543986,0.2532892870112037,0.014947666616628701,-0.36074161915414743,-0.4152952441346558,-0.03174172073630245,0.11609732569497216,0.643511119583014,-0.5927282285142859,0.6127365774734538,-0.41509389841316097,0.18522406187900825,-0.30755523587290073,0.041431996457573284,0.23588332889603938,-0.07183183363186646,-0.14595386731374987,0.2884761207000529
guadalajara,-0.125700313292943,0.303673670988655,-0.7215426175881767,0.0577190807734243,-0.35332633037707717,-0.5879267873560582,0.5828901308169402,0.5978019209208965,-0.6006674856808074,-0.6964131191596455,0.5276816903625926,0.4074640899972217,-0.3409844099042723,0.45959660736662955,0.8138161279010427,0.31767652909436295,-0.07380155592112117,0.2540670198483817,0.3993280783631362,-0.08338373452168155,-0.1974166294890629,-0.4159961216078902,1.0000000000000002,0.7842021118252028,-0.0766755214939583,-0.8009372957791844,-0.10912618583645103,-0.10655387374910026,-0.5982797320677042,0.6048075974833,0.07325059969254474,0.5015126579104504,-0.5713411882385189,-0.6831559234464689,-0.17511809664303568,0.2584017681248746,0.6793646184142388,0.40531009407941665,-0.2846912354977414,0.16345625370829933,-0.25881908893183936,0.33939181012175,-0.8172401927483512,0.8924851053699656,-0.7577098068370737,0.3129740439982256,0.11017129781551901,-0.654506470253945,-0.2744605350791196,0.3448757222933743,-0.6923548873532016
huelva,-0.23907687307096345,-0.047718656885652834,-0.8128555900345699,-0.09745918046995736,-0.244415603708299,-0.42832132474381096,0.5999473860875996,0.44692104703717966,-0.6304611965471261,-0.47460871531025395,0.6994863979271282,0.3490986340481881,-0.6421468354475661,0.5497419097520139,0.8202472950652162,0.4563867549849745,0.07405499584575365,0.3861721934417403,0.622046965508145,-0.06434262620772131,-0.33556518276879194,-0.32611621296678234,0.7842021118252028,1.0,-0.11075873627565404,-0.759499686658251,0.03315282808275574,-0.093168024615755,-0.7615835213197321,0.2743072675501486,0.17342337277967323,0.7266004553666686,-0.6583969566638722,-0.7895508826581319,-0.4789221531353428,0.11779372908972956,0.4028423754098556,0.4457057799151849,-0.2917130887667788,0.35246280318570594,-0.4541801948493128,0.1755965510265084,-0.7579225713629218,0.6730628028744754,-0.6407666408828389,0.38220245423344906,0.593898863827219,-0.6309838640181421,-0.19834898187066685,0.37817209675714725,-0.7671097491039873
huesca,-0.21863546034977002,0.0695972662481857,-0.33668486549125237,0.2453553888504772,-0.1016228179252226,-0.4144822527217914,-0.13869162356813855,-0.19710846966597162,-0.3303983568581189,-0.3565524959206944,0.44827228348381676,-0.3415837583796658,-0.07191685589208643,0.30638412884727717,0.024749667545407673,0.29616326690249506,-0.20556427726910975,0.19058435967563653,0.4785782957922712,-0.09581130576765312,-0.17444918264629858,0.00611094537886292,-0.0766755214939583,-0.11075873627565404,1.0000000000000002,-0.3312366326015106,-0.02526933383903372,0.22080487458695275,-0.15272890972164,0.04141973350474589,0.4060448239590662,0.051688622237585996,-0.2953277012726108,-0.17670552785793994,-0.21657797455982966,-0.4829409147246933,0.5120112278286801,0.37255952639243195,0.19010948558846424,-0.158018140960552,-0.18520007065754726,0.5736547886509209,-0.1121136877232686,0.13687056972059605,-0.3786935346166751,0.6032837542740198,-0.10657046926898069,-0.2945781742590784,-0.056723569995292156,0.29750672594554645,-0.25420938935098486
illes balears,0.038614820838685275,-0.1266287229623805,0.9397824524280967,0.035638384827141725,0.13278920619360496,0.6445165545345097,-0.5679776937072747,-0.47908901182685154,0.8801717123212849,0.7814135937973149,-0.7219996190560146,-0.3919292516253471,0.3892171148504371,-0.6963875721614582,-0.7563089849248953,-0.5367467837759885,0.1852419193252197,-0.32351552653917703,-0.7949847585201226,-0.09005581580626822,0.18531518602483854,0.33395405163846265,-0.8009372957791844,-0.759499686658251,-0.3312366326015106,0.9999999999999998,-0.19196453417376788,-0.02738741342930327,0.7522899845483102,-0.5067103919115132,-0.25260611934997806,-0.6708605663455421,0.8870582201116647,0.7498645906790858,0.22650205639614743,-0.03100032221755698,-0.7989660677448824,-0.5808567953878021,0.06218147527609108,-0.08729429800535166,0.3029406511421478,-0.4171782688343269,0.8805404496747335,-0.8199263425418041,0.901368332344008,-0.5460034351933165,-0.29815158946730597,0.8981145720111128,0.2931523474007156,-0.4723224730841403,0.9029467245116592
jaen,0.423623039177523,-0.36064956322060493,-0.12154100241856504,-0.474267251355319,0.6038256686576599,0.3104200138126726,0.15790110376404443,-0.0702631608213645,-0.3740517398733927,0.10122310202481036,0.033350634160369194,0.39187533043065964,0.3325130185681468,0.31495475969609094,-0.14200318074641213,-0.09444150169765854,-0.07369888658644437,-0.3571198286644096,0.44549907134468986,0.511542371444749,0.21218151591656007,0.0012272621412918636,-0.10912618583645103,0.03315282808275574,-0.02526933383903372,-0.19196453417376788,1.0000000000000004,0.5020198431790476,-0.215298960610321,0.11780916569722819,-0.1367234476595698,0.33420900437041595,-0.3532776281036417,-0.05723655945796114,0.19191798024529427,0.21348416115771798,0.017065022410804542,-0.057758736760187904,0.06944070993017394,-0.16255757027174123,0.131421461952742,-0.32365320746908355,-0.15139722320914942,0.013408509140961774,-0.06516430763840142,-0.1707349049849566,0.28758918154144636,-0.25270358331299153,-0.2411025084294023,0.2436901745323364,-0.32138213313497493
