mes,categoria_alojamiento,periodo_antelacion,valoraciones_norm,tiene_valoraciones,tipo_dia,precio
1,hotel 3 estrellas,1 semana,3.135,True,semana,68.0
1,hotel 3 estrellas,2 semanas,3.135,True,semana,69.0
1,hotel 3 estrellas,3 meses,3.135,True,semana,64.0
1,hotel 4 estrellas,1 mes,2.992,True,semana,76.0
1,hotel 4 estrellas,1 semana,2.992,True,semana,73.0
1,hotel 4 estrellas,2 semanas,2.992,True,semana,77.0
1,hotel 4 estrellas,3 meses,2.992,True,semana,74.0
1,hotel 5 estrellas,1 mes,3.8935,True,semana,83.0
1,hotel 5 estrellas,1 semana,3.8935,True,semana,85.0
1,hotel 5 estrellas,2 semanas,3.8935,True,semana,83.0
1,hotel 5 estrellas,3 meses,3.8935,True,semana,85.0
2,hotel 3 estrellas,1 mes,3.5785,True,semana,72.0
2,hotel 3 estrellas,1 semana,3.5785,True,semana,72.0
2,hotel 3 estrellas,2 semanas,3.5785,True,semana,74.0
2,hotel 3 estrellas,3 meses,3.5785,True,semana,70.0
2,hotel 4 estrellas,1 mes,3.2700000000000005,True,semana,75.0
2,hotel 4 estrellas,1 semana,3.2700000000000005,True,semana,77.0
2,hotel 4 estrellas,2 semanas,3.2700000000000005,True,semana,76.0
2,hotel 4 estrellas,3 meses,3.2700000000000005,True,semana,79.0
2,hotel 5 estrellas,1 mes,3.6015,True,semana,91.0
2,hotel 5 estrellas,1 semana,3.6015,True,semana,98.0
2,hotel 5 estrellas,2 semanas,3.6015,True,semana,97.0
2,hotel 5 estrellas,3 meses,3.6015,True,semana,88.0
3,hotel 3 estrellas,1 mes,3.802000000000001,True,semana,81.0
3,hotel 3 estrellas,1 semana,3.802000000000001,True,semana,79.0
3,hotel 3 estrellas,2 semanas,3.802000000000001,True,semana,81.0
3,hotel 3 estrellas,3 meses,3.802000000000001,True,semana,77.0
3,hotel 4 estrellas,1 mes,3.345,True,semana,82.0
3,hotel 4 estrellas,1 semana,3.345,True,semana,83.0
3,hotel 4 estrellas,2 semanas,3.345,True,semana,82.0
3,hotel 4 estrellas,3 meses,3.345,True,semana,78.0
3,hotel 5 estrellas,1 mes,3.2425,True,semana,100.0
3,hotel 5 estrellas,1 semana,3.2425,True,semana,98.0
3,hotel 5 estrellas,2 semanas,3.2425,True,semana,100.0
3,hotel 5 estrellas,3 meses,3.2425,True,semana,83.0
4,hotel 3 estrellas,1 mes,3.4375,True,semana,84.0
4,hotel 3 estrellas,1 semana,3.4375,True,semana,81.0
4,hotel 3 estrellas,2 semanas,3.4375,True,semana,82.0
4,hotel 3 estrellas,3 meses,3.4375,True,semana,83.0
4,hotel 4 estrellas,1 mes,3.468,True,semana,79.0
4,hotel 4 estrellas,1 semana,3.468,True,semana,78.0
4,hotel 4 estrellas,2 semanas,3.468,True,semana,78.0
4,hotel 4 estrellas,3 meses,3.468,True,semana,79.0
4,hotel 5 estrellas,1 mes,3.618,True,semana,102.0
