provincia,cnt_comida y bebida,cnt_compras,cnt_otros,cnt_paisaje naturaleza,cnt_paisaje urbano,cnt_servicios,cnt_vida nocturna,pct_comida y bebida,pct_compras,pct_otros,pct_paisaje naturaleza,pct_paisaje urbano,pct_servicios,pct_vida nocturna,total_actividades,categorias_unicas,valoracion_general_promedio,tasa_con_valoracion,log_gasto_total_promedio,log_precio_medio_entrada_promedio,log_total_opiniones_categoria_promedio
pontevedra,5,0,8,14,13,11,22,0.0684931506849315,0.0,0.1095890410958904,0.1917808219178082,0.1780821917808219,0.1506849315068493,0.3013698630136986,73,6,4.17,1.0,11.38951584497435,6.702470821003321,8.856167188391616
salamanca,2,2,2,24,23,1,25,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.3037974683544304,0.2911392405063291,0.012658227848101266,0.31645569620253167,79,7,4.17,1.0,11.901315105522071,6.654514421281834,9.353422059315232
santa cruz de tenerife,12,0,2,23,13,12,30,0.13043478260869565,0.0,0.021739130434782608,0.25,0.14130434782608695,0.13043478260869565,0.32608695652173914,92,6,4.26,1.0,11.565575209669467,6.831423665801622,10.902060689446015
segovia,0,2,2,1,2,0,14,0.0,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.6666666666666666,21,5,4.07,1.0,11.682192888500671,6.81630810434672,8.044183142654994
sevilla,12,5,7,21,24,12,35,0.10344827586206896,0.04310344827586207,0.0603448275862069,0.1810344827586207,0.20689655172413793,0.10344827586206896,0.3017241379310345,116,7,4.34,1.0,11.939119804412984,6.8757069139699745,10.5232837025065
soria,3,0,0,11,7,2,14,0.08108108108108109,0.0,0.0,0.2972972972972973,0.1891891891891892,0.05405405405405406,0.3783783783783784,37,5,3.97,1.0,11.50554036482731,6.80440175697352,7.640915478281001
tarragona,9,6,10,24,24,11,29,0.07964601769911504,0.05309734513274336,0.08849557522123894,0.21238938053097345,0.21238938053097345,0.09734513274336283,0.25663716814159293,113,7,4.2,1.0,11.326911474037358,7.141522552175136,10.148624977752219
teruel,0,0,2,2,7,0,17,0.0,0.0,0.07142857142857142,0.07142857142857142,0.25,0.0,0.6071428571428571,28,4,4.28,1.0,11.694282059313826,7.09245614582881,8.28117244085967
toledo,0,0,0,15,24,6,20,0.0,0.0,0.0,0.23076923076923078,0.36923076923076925,0.09230769230769231,0.3076923076923077,65,4,4.18,1.0,11.51674615529009,7.088495843075754,9.958194245414205
valencia/valencia,12,8,9,23,24,11,29,0.10344827586206896,0.06896551724137931,0.07758620689655173,0.19827586206896552,0.20689655172413793,0.09482758620689655,0.25,116,7,4.15,1.0,12.338661493506342,7.206609473152038,10.747042950659138
valladolid,2,2,6,21,23,8,35,0.020618556701030927,0.020618556701030927,0.061855670103092786,0.21649484536082475,0.23711340206185566,0.08247422680412371,0.36082474226804123,97,7,4.06,1.0,11.684282556360671,6.838888504110211,8.637970137182228
zamora,4,1,1,10,12,2,12,0.09523809523809523,0.023809523809523808,0.023809523809523808,0.23809523809523808,0.2857142857142857,0.047619047619047616,0.2857142857142857,42,7,4.15,0.9047619047619048,11.946342234661127,7.079275857510694,7.753357825585644
zaragoza,11,5,11,24,20,11,32,0.09649122807017543,0.043859649122807015,0.09649122807017543,0.21052631578947367,0.17543859649122806,0.09649122807017543,0.2807017543859649,114,7,4.21,1.0,12.144442168422058,6.981390050221533,9.117092362681532
