id_pais,id_provincia,provincia_nombre,mes,categoria,subcategoria,valoracion_general_promedio,total_opiniones_categoria_promedio,precio_medio_entrada_promedio,gasto_total_promedio
ES,41,sevilla,1,vida nocturna,musica,4.34,39053,1095.25,522661.42
ES,22,huesca,1,vida nocturna,musica,4.25,1293,1252.25,132962.25
ES,44,teruel,1,vida nocturna,musica,4.28,950,861.00,179237.67
ES,50,zaragoza,1,vida nocturna,musica,4.21,1614,1179.40,2052648.60
ES,35,las palmas,1,vida nocturna,musica,4.28,129544,1551.30,639314.80
ES,38,santa cruz de tenerife,1,vida nocturna,musica,4.26,62671,1048.42,259213.00
ES,39,cantabria,1,vida nocturna,musica,4.27,5819,926.40,58279.40
ES,02,albacete,1,vida nocturna,musica,4.15,573,3071.00,279026.60
ES,13,ciudad real,1,vida nocturna,musica,4.29,385,1088.57,70340.86
ES,16,cuenca,1,vida nocturna,musica,4.19,760,1288.00,53463.00
ES,19,guadalajara,1,vida nocturna,musica,4.04,447,1503.50,578651.50
ES,45,toledo,1,vida nocturna,musica,4.18,434,2657.88,164407.62
ES,05,ávila,1,vida nocturna,musica,4.23,397,1255.50,88451.50
ES,09,burgos,1,vida nocturna,musica,4.28,970,1460.00,492040.67
ES,24,león,1,vida nocturna,musica,4.21,1480,1027.29,148182.71
ES,34,palencia,1,vida nocturna,musica,4.35,379,1174.50,357538.00
ES,37,salamanca,1,vida nocturna,musica,4.17,3701,993.50,281465.25
ES,40,segovia,1,vida nocturna,musica,4.07,263,1373.00,171800.80
ES,42,soria,1,vida nocturna,musica,3.97,154,745.00,119153.20
ES,47,valladolid,1,vida nocturna,musica,4.06,1293,1285.60,718457.00
ES,49,zamora,1,vida nocturna,musica,4.17,462,1573.25,392858.25
ES,08,barcelona,1,vida nocturna,musica,4.05,119743,1308.13,1062439.95
ES,17,girona,1,vida nocturna,musica,4.24,12856,3296.09,145307.36
ES,25,lleida,1,vida nocturna,musica,4.27,1184,1002.42,293104.42
ES,43,tarragona,1,vida nocturna,musica,4.20,22730,1570.25,149366.67
ES,28,madrid,1,vida nocturna,musica,4.10,100430,1235.79,3553172.24
ES,31,navarra,1,vida nocturna,musica,4.23,2565,1951.90,2401729.70
ES,03,alicante/alacant,1,vida nocturna,musica,4.28,84389,1129.23,309179.63
ES,12,castellón/castelló,1,vida nocturna,musica,4.20,2406,1122.00,278046.00
ES,46,valencia/valència,1,vida nocturna,musica,4.15,9307,1397.38,952839.77
ES,06,badajoz,1,vida nocturna,musica,4.29,2109,1319.17,112568.67
ES,10,cáceres,1,vida nocturna,musica,4.33,1377,938.75,32223.25
ES,15,a coruña,1,vida nocturna,musica,4.21,5653,1346.67,195695.42
ES,27,lugo,1,vida nocturna,musica,4.28,502,923.00,46891.00
ES,32,ourense,1,vida nocturna,musica,4.15,660,1249.00,203944.00
ES,36,pontevedra,1,vida nocturna,musica,4.17,3092,783.60,150617.80
ES,07,illes balears,1,vida nocturna,musica,4.33,122452,1258.16,646636.37
ES,26,la rioja,1,vida nocturna,musica,4.31,1866,1718.33,117063.50
ES,01,araba/álava,1,vida nocturna,musica,4.41,1138,596.33,148574.33
ES,48,bizkaia,1,vida nocturna,musica,4.31,5615,962.64,390844.86
ES,20,gipuzkoa,1,vida nocturna,musica,4.41,5503,867.24,286341.82
ES,33,asturias,1,vida nocturna,musica,4.35,9626,1355.00,411740.30
ES,30,murcia,1,vida nocturna,musica,4.20,1488,782.25,976112.88
ES,04,almería,1,vida nocturna,musicales,4.19,5362,490.33,13815.00
ES,11,cádiz,1,vida nocturna,musicales,4.26,2343,1529.00,169719.00
ES,14,córdoba,1,vida nocturna,musicales,4.29,1908,1969.00,1195183.00
ES,18,granada,1,vida nocturna,musicales,4.37,10900,1251.50,57872.00
ES,29,málaga,1,vida nocturna,musicales,4.43,56036,442.67,97753.33
ES,41,sevilla,1,vida nocturna,musicales,4.34,39053,962.00,99996.50
ES,50,zaragoza,1,vida nocturna,musicales,4.21,1614,903.50,465309.00
ES,35,las palmas,1,vida nocturna,musicales,4.28,129544,568.00,128503.20
ES,38,santa cruz de tenerife,1,vida nocturna,musicales,4.26,62671,659.50,66763.33
ES,39,cantabria,1,vida nocturna,musicales,4.27,5819,220.00,4400.00
ES,02,albacete,1,vida nocturna,musicales,4.15,573,1533.50,999807.00
ES,45,toledo,1,vida nocturna,musicales,4.18,434,50.00,200.00
ES,24,león,1,vida nocturna,musicales,4.21,1480,275.00,10725.00
ES,37,salamanca,1,vida nocturna,musicales,4.17,3701,1838.00,466546.00
ES,47,valladolid,1,vida nocturna,musicales,4.06,1293,870.50,176380.00
ES,08,barcelona,1,vida nocturna,musicales,4.05,119743,748.00,410269.25
ES,17,girona,1,vida nocturna,musicales,4.24,12856,427.33,24427.33
ES,25,lleida,1,vida nocturna,musicales,4.27,1184,492.00,3198.00
ES,28,madrid,1,vida nocturna,musicales,4.10,100430,504.71,213426.29
