id_ccaa,id_provincia,mes,temporada_cod,categoria_cod,subcategoria_cod,valoracion_general_promedio,valoracion_por_categoria_promedio,log_opiniones,log_precio
12,36,1,1,3,0,4.17,4.29,9.6614159913364,6.349138991379798
4,7,1,1,3,0,4.33,4.42,12.22409427602797,7.011637702800233
17,26,1,1,3,0,4.31,4.4,9.814710982145282,7.360103972989152
16,1,1,1,3,0,4.41,4.66,9.347403022364523,5.851713854669542
16,48,1,1,3,0,4.31,4.38,8.97790377375038,7.355641102974253
16,20,1,1,3,0,4.41,4.61,10.202739930102645,6.731018100482083
3,33,1,1,3,0,4.35,4.42,10.692103991155873,6.78105762593618
14,30,1,1,3,0,4.2,4.4,7.876258882303226,7.206748142579785
1,11,1,1,5,4,4.26,4.74,3.6888794541139363,6.191339471482838
1,29,1,1,5,4,4.43,4.62,10.857054801145617,7.056606225714492
1,41,1,1,5,4,4.34,4.06,8.48879371689454,6.318968113746434
2,50,1,1,5,4,4.21,4.05,4.127134385045092,7.641804450862508
5,35,1,1,5,4,4.28,3.72,7.9599745280805365,6.90875477931522
5,38,1,1,5,4,4.26,3.86,8.230577217146454,6.983168827072006
6,39,1,1,5,4,4.27,3.94,8.492490578775866,7.170888478512505
8,45,1,1,5,4,4.18,3.33,3.4011973816621555,5.739792912179234
7,47,1,1,5,4,4.06,2.7,5.680172609017068,7.516161231086992
9,8,1,1,5,4,4.05,4.03,11.982529014194624,8.202482446576537
9,17,1,1,5,4,4.24,3.82,7.044905117129371,5.017279836814924
9,43,1,1,5,4,4.2,3.44,9.1345386585599,6.90875477931522
13,28,1,1,5,4,4.1,3.92,10.654219444947001,7.91237918055958
10,3,1,1,5,4,4.28,3.73,10.297487182535015,7.192686070128113
10,46,1,1,5,4,4.15,4.56,8.871365005136852,8.209580483475577
11,6,1,1,5,4,0.0,0.0,0.0,6.565264970035361
11,10,1,1,5,4,4.33,4.99,4.110873864173311,6.497528853772263
12,15,1,1,5,4,4.21,4.04,6.406879986069314,7.0630481633881725
12,36,1,1,5,4,4.17,4.14,7.261927092702751,6.898714534329988
4,7,1,1,5,4,4.33,4.23,10.744084440041084,7.746227161908221
17,26,1,1,5,4,4.31,4.81,2.3978952727983707,6.311734809152915
16,48,1,1,5,4,4.31,4.03,9.511185430954244,8.816705015621595
16,20,1,1,5,4,4.41,3.84,4.948759890378168,5.529429087511423
3,33,1,1,5,4,4.35,3.91,7.779048644925556,7.741099090035366
14,30,1,1,5,4,4.2,2.83,1.9459101490553132,8.47746434918724
1,4,1,1,3,5,4.19,4.32,10.059507911994038,5.01396308418893
1,11,1,1,3,5,4.26,4.27,9.421492310438014,7.236339342754344
1,41,1,1,3,5,4.34,4.47,9.974737874064294,6.225211681206383
2,50,1,1,3,5,4.21,4.36,8.68084148294457,6.788408521349571
5,35,1,1,3,5,4.28,4.34,12.207965852282786,6.1235887000350235
5,38,1,1,3,5,4.26,4.31,12.15513718185042,6.767343125265392
8,19,1,1,3,5,4.04,4.19,7.1731917424865985,7.153833801578843
7,37,1,1,3,5,4.17,4.39,8.107720061910534,6.202535517187923
9,8,1,1,3,5,4.05,4.13,12.20829517388327,7.127605412946256
13,28,1,1,3,5,4.1,4.19,11.71010279299617,5.9538924742002255
15,31,1,1,3,5,4.23,4.33,8.854807632616227,4.110873864173311
10,3,1,1,3,5,4.28,4.36,11.319644067939931,5.831882477283517
11,6,1,1,3,5,4.29,4.4,7.018401799069201,5.460988784418869
11,10,1,1,3,5,4.33,4.5,8.668196064952765,6.318066806790422
16,1,1,1,3,5,4.41,4.66,9.347403022364523,6.570182436916891
16,48,1,1,3,5,4.31,4.38,8.97790377375038,7.526717561352706
16,20,1,1,3,5,4.41,4.61,10.202739930102645,8.041734711487537
3,33,1,1,3,5,4.35,4.42,10.692103991155873,9.141311785565748
14,30,1,1,3,5,4.2,4.4,7.876258882303226,5.033700567027251
1,11,1,1,0,7,4.26,4.57,3.871201010907891,4.709530201312334
1,29,1,1,0,7,4.43,4.84,7.241366283322318,7.421775793644647
1,41,1,1,0,7,4.34,4.76,9.008346579384707,6.501785043318527
2,50,1,1,0,7,4.21,4.03,3.58351893845611,7.3727463664043285
5,35,1,1,0,7,4.28,3.71,6.095824562432225,6.945532643316167
5,38,1,1,0,7,4.26,4.31,4.290459441148391,6.812345094177479
8,2,1,1,0,7,4.15,4.88,3.5263605246161616,6.84587987526405
7,47,1,1,0,7,4.06,4.44,5.53338948872752,7.813591552952433
9,8,1,1,0,7,4.05,4.67,8.271804031154709,7.492871715328377
9,17,1,1,0,7,4.24,4.57,5.214935757608986,7.331714969726466
9,43,1,1,0,7,4.2,4.67,6.1779441140506,6.939253946041508
13,28,1,1,0,7,4.1,4.71,8.675392806089782,7.138073034044347
10,46,1,1,0,7,4.15,4.79,5.91350300563827,5.5154428455366835
4,7,1,1,0,7,4.33,4.86,7.69484807238461,7.700521524570795
14,30,1,1,0,7,4.2,3.99,5.771441123130016,4.61512051684126
1,4,1,1,6,1,4.19,3.72,8.587278798982926,6.423246963533519
1,18,1,1,6,1,4.37,3.92,9.296609807128359,6.289715570908998
1,29,1,1,6,1,4.43,4.3,10.933767465827414,7.368339686311381
