id_provincia,mes,categoria,precio_mediano_n1
8,12,paisaje urbano,1169.5
8,12,servicios,2785.17
8,12,vida nocturna,797.7449999999999
9,1,paisaje urbano,65.0
9,1,vida nocturna,1460.0
9,2,vida nocturna,1597.0
9,3,vida nocturna,1984.2
9,4,paisaje urbano,132.0
9,4,vida nocturna,2660.75
9,5,vida nocturna,1929.14
9,6,paisaje naturaleza,609.0
9,6,vida nocturna,1702.83
9,7,vida nocturna,1274.2
9,8,comida y bebida,1086.0
9,8,paisaje urbano,992.33
9,8,vida nocturna,1250.3
9,9,paisaje naturaleza,504.0
9,9,paisaje urbano,262.33
9,9,vida nocturna,1021.57
9,10,paisaje naturaleza,50.0
9,10,paisaje urbano,110.0
9,10,vida nocturna,1354.29
9,11,paisaje urbano,425.0
9,11,vida nocturna,1387.71
9,12,vida nocturna,1237.57
10,1,paisaje naturaleza,686.375
10,1,paisaje urbano,1025.0
10,1,servicios,662.5
10,1,vida nocturna,938.75
10,2,comida y bebida,1063.0
10,2,paisaje urbano,532.75
10,3,comida y bebida,162.0
10,3,paisaje naturaleza,760.835
10,3,paisaje urbano,895.0
10,3,vida nocturna,743.2149999999999
10,4,comida y bebida,1621.0
10,4,paisaje naturaleza,699.165
10,4,paisaje urbano,662.6
10,4,vida nocturna,534.395
10,5,paisaje naturaleza,176.0
10,5,paisaje urbano,348.0
10,5,vida nocturna,823.54
10,6,paisaje naturaleza,1455.05
10,6,vida nocturna,756.875
10,7,paisaje naturaleza,2062.33
10,7,paisaje urbano,318.0
10,7,vida nocturna,695.7199999999999
10,8,paisaje naturaleza,1164.5
10,8,servicios,50.0
10,8,vida nocturna,1022.5
10,9,paisaje naturaleza,693.875
10,9,paisaje urbano,478.83
10,9,servicios,75.0
10,9,vida nocturna,1047.185
10,10,paisaje naturaleza,1118.81
10,10,paisaje urbano,728.86
10,10,vida nocturna,639.4449999999999
10,11,comida y bebida,491.0
10,11,paisaje naturaleza,1581.69
10,11,paisaje urbano,794.57
10,11,vida nocturna,1006.375
10,12,paisaje naturaleza,1126.33
10,12,paisaje urbano,616.0
10,12,vida nocturna,1023.325
11,1,comida y bebida,110.0
11,1,paisaje naturaleza,1769.875
11,1,paisaje urbano,1824.14
11,1,servicios,487.5
11,1,vida nocturna,1293.29
11,2,paisaje naturaleza,1809.165
11,2,paisaje urbano,1387.56
11,2,servicios,638.5
11,2,vida nocturna,1186.5
11,3,comida y bebida,1005.0
11,3,paisaje naturaleza,1774.5
11,3,paisaje urbano,1993.86
11,3,servicios,152.5
11,3,vida nocturna,830.23
11,4,comida y bebida,121.5
