mes,empresa,tipo_de_servicio,tipo_de_producto,origen,destino,precio
2024-08,iryo,comercial,ld av,madrid,sevilla,33.02
2024-08,iryo,comercial,ld av,madrid,valencia/valencia,24.29
2024-08,ouigo,comercial,ld av,madrid,alicante/alacant,31.81
2024-08,ouigo,comercial,ld av,madrid,barcelona,43.16
2024-08,ouigo,comercial,ld av,madrid,valencia/valencia,26.03
2024-08,renfe-ave,comercial,ld av,madrid,alicante/alacant,432.0
2024-08,renfe-ave,comercial,ld av,madrid,barcelona,57.95
2024-08,renfe-ave,comercial,ld av,madrid,malaga,52.59
2024-08,renfe-ave,comercial,ld av,madrid,sevilla,39.62
2024-08,renfe-ave,comercial,ld av,madrid,valencia/valencia,36.86
2024-08,renfe-avlo,comercial,ld av,madrid,alicante/alacant,29.37
2024-08,renfe-avlo,comercial,ld av,madrid,barcelona,44.71
2024-08,renfe-avlo,comercial,ld av,madrid,malaga,44.62
2024-08,renfe-avlo,comercial,ld av,madrid,sevilla,27.48
2024-08,renfe-avlo,comercial,ld av,madrid,valencia/valencia,23.48
2024-09,iryo,comercial,ld av,madrid,alicante/alacant,25.31
2024-09,iryo,comercial,ld av,madrid,barcelona,404.0
2024-09,iryo,comercial,ld av,madrid,malaga,37.61
2024-09,iryo,comercial,ld av,madrid,sevilla,37.72
2024-09,iryo,comercial,ld av,madrid,valencia/valencia,22.44
2024-09,ouigo,comercial,ld av,madrid,alicante/alacant,25.66
2024-09,ouigo,comercial,ld av,madrid,barcelona,40.16
2024-09,ouigo,comercial,ld av,madrid,valencia/valencia,22.78
2024-09,renfe-ave,comercial,ld av,madrid,alicante/alacant,38.33
2024-09,renfe-ave,comercial,ld av,madrid,barcelona,63.98
2024-09,renfe-ave,comercial,ld av,madrid,malaga,46.72
2024-09,renfe-ave,comercial,ld av,madrid,sevilla,48.24
2024-09,renfe-ave,comercial,ld av,madrid,valencia/valencia,35.18
2024-09,renfe-avlo,comercial,ld av,madrid,alicante/alacant,248.0
2024-09,renfe-avlo,comercial,ld av,madrid,barcelona,43.08
2024-09,renfe-avlo,comercial,ld av,madrid,malaga,40.67
2024-09,renfe-avlo,comercial,ld av,madrid,sevilla,34.21
2024-09,renfe-avlo,comercial,ld av,madrid,valencia/valencia,21.18
2024-10,iryo,comercial,ld av,madrid,alicante/alacant,27.02
2024-10,iryo,comercial,ld av,madrid,barcelona,417.0
2024-10,iryo,comercial,ld av,madrid,malaga,38.29
2024-10,iryo,comercial,ld av,madrid,sevilla,39.46
2024-10,iryo,comercial,ld av,madrid,valencia/valencia,22.14
2024-10,ouigo,comercial,ld av,madrid,alicante/alacant,244.0
2024-10,ouigo,comercial,ld av,madrid,barcelona,41.83
2024-10,ouigo,comercial,ld av,madrid,valencia/valencia,21.22
2024-10,renfe-ave,comercial,ld av,madrid,alicante/alacant,38.85
2024-10,renfe-ave,comercial,ld av,madrid,barcelona,678.0
2024-10,renfe-ave,comercial,ld av,madrid,malaga,47.22
2024-10,renfe-ave,comercial,ld av,madrid,sevilla,50.88
2024-10,renfe-ave,comercial,ld av,madrid,valencia/valencia,35.72
2024-10,renfe-avlo,comercial,ld av,madrid,alicante/alacant,22.23
2024-10,renfe-avlo,comercial,ld av,madrid,barcelona,45.63
2024-10,renfe-avlo,comercial,ld av,madrid,malaga,448.0
2024-10,renfe-avlo,comercial,ld av,madrid,sevilla,35.88
2024-10,renfe-avlo,comercial,ld av,madrid,valencia/valencia,18.85
2024-11,iryo,comercial,ld av,madrid,alicante/alacant,29.27
2024-11,iryo,comercial,ld av,madrid,barcelona,42.55
2024-11,iryo,comercial,ld av,madrid,malaga,39.68
2024-11,iryo,comercial,ld av,madrid,sevilla,40.58
2024-11,iryo,comercial,ld av,madrid,valencia/valencia,21.83
2024-11,ouigo,comercial,ld av,madrid,alicante/alacant,25.35
2024-11,ouigo,comercial,ld av,madrid,barcelona,40.62
2024-11,ouigo,comercial,ld av,madrid,valencia/valencia,22.06
2024-11,renfe-ave,comercial,ld av,madrid,alicante/alacant,40.26
2024-11,renfe-ave,comercial,ld av,madrid,barcelona,64.82
2024-11,renfe-ave,comercial,ld av,madrid,malaga,47.23
2024-11,renfe-ave,comercial,ld av,madrid,sevilla,49.78
